basin,product,peak_timing,missed_peaks,mape_peak
01411300,CARAVAN,0.2857142857142857,0.6527777777777778,46.35071874101862
01411300,CHIRPS,0.2571428571428571,0.4166666666666667,38.703938009091345
01411300,MSWEP,0.22857142857142856,0.3194444444444444,27.2176147916233
01466500,CARAVAN,0.5797101449275363,0.7857142857142857,52.97507120962936
01466500,CHIRPS,0.5217391304347826,0.6,43.55985913745184
01466500,MSWEP,0.3333333333333333,0.7285714285714285,41.98387795692881
01487000,CARAVAN,0.29850746268656714,0.5970149253731343,46.75694060308289
01487000,CHIRPS,0.23880597014925373,0.5074626865671642,30.82557989821827
01487000,MSWEP,0.14925373134328357,0.3582089552238806,22.10062592928875
01638480,CARAVAN,0.8857142857142857,0.6619718309859155,64.20575602069619
01638480,CHIRPS,0.7285714285714285,0.49295774647887325,47.15411601192977
01638480,MSWEP,0.5857142857142857,0.43661971830985913,40.82360337627712
01644000,CARAVAN,0.9710144927536232,0.6571428571428571,68.46008324572452
01644000,CHIRPS,0.6956521739130435,0.5285714285714286,47.31286343810992
01644000,MSWEP,0.5507246376811594,0.44285714285714284,43.39103545906929
01666500,CARAVAN,0.7647058823529411,0.5441176470588235,69.08475492821148
01666500,CHIRPS,0.7058823529411765,0.5735294117647058,52.9934701613078
01666500,MSWEP,0.45588235294117646,0.35294117647058826,47.00001372565056
01667500,CARAVAN,0.7205882352941176,0.5588235294117647,70.77891088629268
01667500,CHIRPS,0.6470588235294118,0.5882352941176471,48.002959983597556
01667500,MSWEP,0.4117647058823529,0.35294117647058826,43.156806301138495
01669000,CARAVAN,0.3382352941176471,0.6086956521739131,40.73775998227928
01669000,CHIRPS,0.19117647058823528,0.4927536231884058,27.701864806308752
01669000,MSWEP,0.0,0.08695652173913043,11.105345397782497
01669520,CARAVAN,0.40298507462686567,0.6029411764705882,47.502354073453354
01669520,CHIRPS,0.2835820895522388,0.4852941176470588,31.421527093083206
01669520,MSWEP,0.014925373134328358,0.29411764705882354,13.612196308824917
02027000,CARAVAN,0.855072463768116,0.5492957746478874,70.21356199867466
02027000,CHIRPS,0.4927536231884058,0.4788732394366197,45.91815513126016
02027000,MSWEP,0.5652173913043478,0.4647887323943662,49.43627260720028
02038850,CARAVAN,0.9565217391304348,0.5857142857142857,66.9941065068206
02038850,CHIRPS,0.5362318840579711,0.5142857142857142,40.95865710653786
02038850,MSWEP,0.4492753623188406,0.3142857142857143,39.87497510707987
02046000,CARAVAN,1.0,0.6027397260273972,61.302850539476125
02046000,CHIRPS,0.4520547945205479,0.726027397260274,44.19659680365137
02046000,MSWEP,0.410958904109589,0.5753424657534246,41.41679070314332
02053200,CARAVAN,0.7246376811594203,0.6,63.4699779606132
02053200,CHIRPS,0.5797101449275363,0.4714285714285714,50.75823303404861
02053200,MSWEP,0.5652173913043478,0.4,47.135578505111724
02053800,CARAVAN,0.7746478873239436,0.6901408450704225,67.09912615628453
