basin_id,Peak-Timing,Missed-Peaks
camels_01411300,0.3333333333333333,0.5
camels_01466500,0.18181818181818182,0.5454545454545454
camels_01487000,0.23076923076923078,0.6923076923076923
camels_01638480,0.7692307692307693,0.7692307692307693
camels_01644000,0.5,0.8461538461538461
camels_01666500,0.25,0.8461538461538461
camels_01667500,0.4166666666666667,0.8461538461538461
camels_01669000,0.16666666666666666,0.42857142857142855
camels_01669520,1.0769230769230769,0.5
camels_02027000,0.5,0.6153846153846154
camels_02038850,0.46153846153846156,0.3076923076923077
camels_02046000,0.3076923076923077,0.5714285714285714
camels_02053200,1.1666666666666667,0.5714285714285714
camels_02053800,0.18181818181818182,0.75
camels_02055100,0.16666666666666666,0.75
camels_02064000,0.23076923076923078,0.5
camels_02065500,0.5454545454545454,0.4166666666666667
camels_02081500,0.38461538461538464,0.6666666666666666
camels_02082950,0.9230769230769231,0.5714285714285714
camels_02092500,1.9090909090909092,0.5833333333333334
camels_02108000,0.9166666666666666,0.5
camels_02118500,0.42857142857142855,0.42857142857142855
camels_02125000,1.25,1.0
camels_02140991,0.5333333333333333,0.25
camels_02143040,0.23076923076923078,0.6666666666666666
camels_02193340,0.7777777777777778,0.9166666666666666
camels_02202600,0.16666666666666666,0.8181818181818182
camels_02212600,0.25,0.9333333333333333
camels_02215100,0.8,0.5
camels_02216180,0.4,0.6666666666666666
camels_02221525,0.2,0.6666666666666666
camels_02231000,1.3333333333333333,0.4
camels_02246000,1.1428571428571428,0.6153846153846154
camels_02296500,1.7142857142857142,0.5
camels_02297310,2.1666666666666665,0.875
camels_02298123,1.4285714285714286,0.375
camels_02298608,1.6,0.6666666666666666
camels_02299950,0.8,0.5384615384615384
camels_02300700,1.0,0.5833333333333334
camels_02342933,0.4,0.6
camels_02349900,0.8181818181818182,0.5
camels_02350900,0.7272727272727273,0.36363636363636365
camels_02361000,1.4615384615384615,0.6923076923076923
camels_02363000,1.5454545454545454,0.7272727272727273
camels_02371500,2.8,0.5833333333333334
camels_02372250,1.0909090909090908,0.6153846153846154
camels_02374500,0.45454545454545453,0.6666666666666666
camels_02381600,0.38461538461538464,0.8571428571428571
camels_02395120,0.5454545454545454,0.75
camels_02415000,0.09090909090909091,0.5454545454545454
camels_02427250,0.8,0.6666666666666666
camels_02450250,0.5,0.7142857142857143
camels_02464360,0.25,0.6666666666666666
camels_02465493,0.16666666666666666,0.6428571428571429
camels_02469800,0.2727272727272727,0.6923076923076923
camels_02472000,0.8181818181818182,0.3076923076923077
camels_02472500,0.5,0.6666666666666666
camels_02479155,0.2727272727272727,0.6666666666666666
camels_02479560,1.6363636363636365,0.5
camels_03170000,0.35714285714285715,0.8571428571428571
camels_03281500,0.4166666666666667,0.5833333333333334
camels_03285000,1.0,0.3
camels_03439000,0.21428571428571427,0.5
camels_03460000,0.21428571428571427,0.5714285714285714
camels_03498500,0.5714285714285714,0.8571428571428571
camels_03574500,0.5,0.5333333333333333
camels_03604000,0.5,0.8
camels_05593575,0.6923076923076923,0.4666666666666667
camels_05595730,0.6666666666666666,0.5714285714285714
camels_06917000,0.7272727272727273,0.6666666666666666
camels_06918460,0.8,0.2727272727272727
camels_06919500,0.3,0.5384615384615384
camels_06921070,0.16666666666666666,0.5
camels_06921200,0.5454545454545454,0.6
camels_07057500,0.375,0.3333333333333333
camels_07060710,0.25,0.6666666666666666
camels_07066000,0.36363636363636365,0.3333333333333333
camels_07145700,0.5,0.6666666666666666
camels_07184000,0.5555555555555556,0.5
camels_07195800,0.625,0.42857142857142855
camels_07197000,0.5,0.6363636363636364
camels_07261000,0.36363636363636365,0.45454545454545453
camels_07263295,0.6923076923076923,0.46153846153846156
camels_07291000,1.3846153846153846,0.8125
camels_07299670,0.6666666666666666,0.42857142857142855
camels_07315200,1.0,0.8181818181818182
camels_07335700,1.7142857142857142,0.6666666666666666
camels_07340300,0.16666666666666666,0.7692307692307693
camels_07346045,1.8571428571428572,0.7272727272727273
camels_07359610,0.25,0.6428571428571429
camels_07362100,0.5,0.6923076923076923
camels_07375000,0.5454545454545454,0.4
camels_08013000,1.4285714285714286,0.4166666666666667
camels_08014500,0.8,0.5384615384615384
camels_08023080,0.625,0.4444444444444444
camels_08050800,0.5,0.6153846153846154
camels_08066200,1.125,0.6
camels_08066300,1.3333333333333333,0.5454545454545454
camels_08070000,0.6,0.42857142857142855
camels_08070200,1.5833333333333333,0.38461538461538464
camels_08082700,1.1666666666666667,0.7
camels_08086212,0.8,0.7
camels_08086290,1.2222222222222223,0.6153846153846154
camels_08101000,0.7777777777777778,0.5454545454545454
camels_08104900,0.16666666666666666,0.6923076923076923
camels_08150800,0.8571428571428571,0.5714285714285714
camels_08158700,0.5,0.6666666666666666
camels_08158810,0.75,0.6666666666666666
camels_08164300,1.625,0.6923076923076923
camels_08164600,0.16666666666666666,0.6666666666666666
camels_08165300,1.2857142857142858,0.5333333333333333
camels_08171300,0.5555555555555556,0.5
camels_08175000,1.4285714285714286,0.6428571428571429
camels_08176900,1.0,0.5
camels_08178880,0.0,0.7272727272727273
camels_08189500,0.3333333333333333,0.6666666666666666
camels_08190500,1.5,1.0
camels_08195000,0.5,0.2727272727272727
camels_08198500,0.6666666666666666,0.7
camels_08200000,0.5,0.75
camels_08202700,1.0,0.5
camels_09447800,2.0,0.75
camels_09505800,2.142857142857143,0.45454545454545453
camels_10259000,1.1666666666666667,0.5
camels_11451100,0.7142857142857143,0.375
camels_12073500,0.875,0.3076923076923077
camels_14362250,0.2857142857142857,0.6666666666666666
