basin_id,Peak-Timing,Missed-Peaks
camels_01411300,0.16666666666666666,0.16666666666666666
camels_01466500,0.36363636363636365,0.5454545454545454
camels_01487000,0.07692307692307693,0.46153846153846156
camels_01638480,0.23076923076923078,0.46153846153846156
camels_01644000,0.9166666666666666,0.6923076923076923
camels_01666500,0.5,0.46153846153846156
camels_01667500,0.08333333333333333,0.46153846153846156
camels_01669000,0.25,0.35714285714285715
camels_01669520,0.7692307692307693,0.2857142857142857
camels_02027000,0.16666666666666666,0.38461538461538464
camels_02038850,0.6153846153846154,0.07692307692307693
camels_02046000,0.38461538461538464,0.14285714285714285
camels_02053200,1.1666666666666667,0.5714285714285714
camels_02053800,0.18181818181818182,0.3333333333333333
camels_02055100,0.08333333333333333,0.5
camels_02064000,0.23076923076923078,0.35714285714285715
camels_02065500,0.45454545454545453,0.16666666666666666
camels_02081500,0.07692307692307693,0.4
camels_02082950,0.9230769230769231,0.42857142857142855
camels_02092500,1.4545454545454546,0.3333333333333333
camels_02108000,0.75,0.08333333333333333
camels_02118500,0.5,0.35714285714285715
camels_02125000,0.25,0.0
camels_02140991,0.4,0.25
camels_02143040,0.07692307692307693,0.26666666666666666
camels_02193340,0.3333333333333333,0.16666666666666666
camels_02202600,0.3333333333333333,0.18181818181818182
camels_02212600,0.25,0.3333333333333333
camels_02215100,1.4,0.0
camels_02216180,0.0,0.3333333333333333
camels_02221525,0.2,0.4166666666666667
camels_02231000,0.8333333333333334,0.4
camels_02246000,1.1428571428571428,0.38461538461538464
camels_02296500,1.7142857142857142,0.5
camels_02297310,1.6666666666666667,0.375
camels_02298123,0.8571428571428571,0.625
camels_02298608,0.4,0.4166666666666667
camels_02299950,0.2,0.07692307692307693
camels_02300700,0.7,0.25
camels_02342933,0.6,0.0
camels_02349900,0.45454545454545453,0.25
camels_02350900,1.1818181818181819,0.09090909090909091
camels_02361000,0.9230769230769231,0.23076923076923078
camels_02363000,1.2727272727272727,0.2727272727272727
camels_02371500,2.0,0.25
camels_02372250,0.8181818181818182,0.3076923076923077
camels_02374500,0.6363636363636364,0.4166666666666667
camels_02381600,0.23076923076923078,0.5714285714285714
camels_02395120,0.18181818181818182,0.4166666666666667
camels_02415000,0.0,0.2727272727272727
camels_02427250,0.4,0.08333333333333333
camels_02450250,0.3333333333333333,0.5714285714285714
camels_02464360,0.08333333333333333,0.5
camels_02465493,0.3333333333333333,0.14285714285714285
camels_02469800,0.9090909090909091,0.6153846153846154
camels_02472000,0.5454545454545454,0.07692307692307693
camels_02472500,0.1,0.4666666666666667
camels_02479155,0.18181818181818182,0.6
camels_02479560,1.1818181818181819,0.25
camels_03170000,0.21428571428571427,0.5
camels_03281500,0.25,0.4166666666666667
camels_03285000,0.0,0.2
camels_03439000,0.21428571428571427,0.07142857142857142
camels_03460000,0.14285714285714285,0.2857142857142857
camels_03498500,0.07142857142857142,0.5714285714285714
camels_03574500,0.21428571428571427,0.2
camels_03604000,0.3,0.4666666666666667
camels_05593575,0.23076923076923078,0.3333333333333333
camels_05595730,0.4166666666666667,0.21428571428571427
camels_06917000,0.36363636363636365,0.25
camels_06918460,0.4,0.09090909090909091
camels_06919500,0.5,0.3076923076923077
camels_06921070,0.16666666666666666,0.35714285714285715
camels_06921200,0.09090909090909091,0.4666666666666667
camels_07057500,0.25,0.25
camels_07060710,0.08333333333333333,0.3333333333333333
camels_07066000,0.2727272727272727,0.08333333333333333
camels_07145700,0.125,0.4666666666666667
camels_07184000,0.8888888888888888,0.2857142857142857
camels_07195800,0.25,0.21428571428571427
camels_07197000,0.125,0.18181818181818182
camels_07261000,0.18181818181818182,0.36363636363636365
camels_07263295,0.07692307692307693,0.3076923076923077
camels_07291000,0.6923076923076923,0.4375
camels_07299670,0.5,0.2857142857142857
camels_07315200,0.3333333333333333,0.18181818181818182
camels_07335700,0.14285714285714285,0.3333333333333333
camels_07340300,0.16666666666666666,0.15384615384615385
camels_07346045,1.4285714285714286,0.2727272727272727
camels_07359610,0.25,0.2857142857142857
camels_07362100,0.625,0.3076923076923077
camels_07375000,0.5454545454545454,0.26666666666666666
camels_08013000,1.0,0.25
camels_08014500,0.8,0.23076923076923078
camels_08023080,0.375,0.1111111111111111
camels_08050800,0.25,0.07692307692307693
camels_08066200,0.25,0.5333333333333333
camels_08066300,1.1111111111111112,0.36363636363636365
camels_08070000,0.7,0.42857142857142855
camels_08070200,1.0,0.15384615384615385
camels_08082700,0.5,0.6
camels_08086212,0.4,0.3
camels_08086290,0.5555555555555556,0.38461538461538464
camels_08101000,0.1111111111111111,0.2727272727272727
camels_08104900,0.16666666666666666,0.23076923076923078
camels_08150800,0.2857142857142857,0.5
camels_08158700,0.0,0.16666666666666666
camels_08158810,0.125,0.4444444444444444
camels_08164300,0.25,0.3076923076923077
camels_08164600,0.16666666666666666,0.3333333333333333
camels_08165300,0.5714285714285714,0.26666666666666666
camels_08171300,1.0,0.4
camels_08175000,0.7142857142857143,0.42857142857142855
camels_08176900,0.3333333333333333,0.375
camels_08178880,0.25,0.36363636363636365
camels_08189500,0.3333333333333333,0.5555555555555556
camels_08190500,2.5,1.0
camels_08195000,0.16666666666666666,0.18181818181818182
camels_08198500,0.6666666666666666,0.6
camels_08200000,0.25,0.4166666666666667
camels_08202700,0.0,0.0
camels_09447800,3.25,0.9166666666666666
camels_09505800,1.8571428571428572,0.2727272727272727
camels_10259000,0.6666666666666666,0.5
camels_11451100,0.14285714285714285,0.375
camels_12073500,0.125,0.15384615384615385
camels_14362250,0.2857142857142857,0.2222222222222222
