gauge_id,gauge_name,slope_mean,high_prec_freq,p_mean,high_prec_dur,low_prec_freq,silt_frac,aridity,pet_mean,frac_snow,clay_frac,area_gages2,sand_frac,elev_mean,low_prec_dur
CAMELS_UY_10,Paso Mazangano,12.72590723834544,0.064271047227926,3.915340177960301,1.2038461538461538,0.6646132785763176,23.70679055007477,0.717773086502974,2.8103258042436687,0.0,30.243463876285464,6530.808541,46.01511003181723,169.30758165659205,4.354260089686099
CAMELS_UY_7,Paso de Coelho,15.56120124021164,0.0652292950034223,3.9708555783709785,1.221794871794872,0.6782340862422997,24.61138249767044,0.7163613391204223,2.8445674195756334,0.0,29.245497855578705,2419.341041,46.16776592952044,175.07300675138563,4.570571955719557
CAMELS_UY_12,Sarandi del Yi,19.23404234655376,0.0662559890485968,3.411160164271048,1.213032581453634,0.7089664613278577,22.247985531753244,0.7879330738878002,2.6877659137577,0.0,25.76785341665684,1381.247863,51.963861645138174,198.93263950008617,4.813197026022305
CAMELS_UY_8,Paso de las Toscas,14.357645857092836,0.0653661875427789,3.922811088295688,1.232258064516129,0.6847364818617385,22.190910748224688,0.7126037757708776,2.7954099931553733,0.0,29.976672796415222,970.9329836,47.650490232091606,151.68299153358078,4.561787505699955
CAMELS_UY_15,Paso de las Piedras (R3),12.119888696749758,0.0655715263518138,3.6600622861054073,1.2345360824742269,0.7198494182067078,25.83748801187126,0.8178193277381643,2.993269678302533,0.0,30.75811554145924,791.650467,43.81493143630001,79.27904057681104,5.027246653919694
CAMELS_UY_6,Paso del Borracho,24.31365953518588,0.0637919233401779,3.961108145106092,1.2183006535947711,0.6784394250513347,23.66768037273477,0.7396339390919134,2.929770020533881,0.0,27.180635949814988,6601.754962,49.20399789262712,184.5018047827321,4.59953596287703
CAMELS_UY_16,Bequelo,11.89080586133012,0.0640657084188911,3.325952772073922,1.2267365661861074,0.730321697467488,21.98847659852913,0.8842482235306635,2.940967830253251,0.0,34.17761790240175,1141.147308,43.48271909673288,71.72808271402307,4.965100046533271
CAMELS_UY_2,Paso de las Piedras,19.613217980525583,0.0633127994524298,3.977115674195757,1.2300531914893618,0.6788501026694045,21.97503746689245,0.7434241345851677,2.956683778234086,0.0,25.54709458514328,1923.08403,52.354705521348656,185.27367864416848,4.589541878759833
CAMELS_UY_5,Paso Baltasar,34.10858898887869,0.0639288158795345,3.888606433949349,1.2225130890052356,0.6932238193018481,21.72123397217683,0.7568098521910832,2.9429356605065022,0.0,25.77910450532807,917.6095886,52.807840440383615,198.01700648102167,4.763875823142051
CAMELS_UY_11,Fraile Muerto,26.62019610966424,0.0631759069130732,3.7072313483915127,1.237265415549598,0.683504449007529,23.99716482017157,0.7259938352351667,2.6914271047227927,0.0,29.516960977029147,314.411261,47.02597469197821,212.24536662200805,4.468008948545862
CAMELS_UY_14,Paso de los Mellizos,16.970604825415155,0.0659822039698836,3.661789869952088,1.2438709677419355,0.7151266255989048,26.58184884217092,0.8118344821140682,2.972767282683094,0.0,31.77120657780093,2196.82399,41.74430535480004,92.51240546306838,4.968140751307656
CAMELS_UY_3,Paso Manuel Diaz,37.25444031358755,0.0626283367556468,4.062472963723477,1.2265415549597856,0.680766598220397,24.091182362891416,0.7291063106953969,2.961974674880219,0.0,26.954383712042297,2212.331158,48.99335242609543,214.94434209806133,4.617455896007428
CAMELS_UY_9,Paso Aguiar,12.309230863508557,0.0646817248459959,3.897213552361397,1.2115384615384617,0.6646132785763176,23.51005998536721,0.7187553402113058,2.8011430527036274,0.0,30.245864166699345,8044.566285,46.25493026014301,161.73292912740536,4.3797925124041495
CAMELS_UY_1,Paso de la Compania,14.874895188487772,0.0644763860369609,3.928955509924709,1.2202072538860105,0.6847364818617385,23.072536963555656,0.7278553166403146,2.859711156741957,0.0,30.421807686476445,1044.805388,46.68886217891275,170.94694164763263,4.6016559337626495
CAMELS_UY_4,Tacuarembo,29.31236997792924,0.065160848733744,3.840577002053388,1.2315653298835705,0.6986995208761122,21.2719492911683,0.7554509530513094,2.901367556468173,0.0,26.804885005960312,673.2861396,51.92252936893436,201.2318214442644,4.785747773089545
CAMELS_UY_13,Durazno,14.38830821379156,0.0657768651608487,3.374954825462012,1.2118537200504411,0.705886379192334,21.11025304690471,0.808500795711211,2.728653661875428,0.0,27.650172258856124,8881.479722,51.22594595750364,147.54420943916145,4.778962001853568
