basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.5108744502067566,0.8322621056595,0.6926602125167847,1.3613548278808594
CAMELS_UY_11,-0.03541207313537598,1.6160699051004528,2.6116819381713867,1.2054656744003296
CAMELS_UY_15,0.8065807819366455,0.8693600495490652,0.7557868957519531,1.1385037899017334
CAMELS_UY_16,0.28104841709136963,2.4132963773451506,5.823999404907227,0.9221234917640686
CAMELS_UY_2,0.6506743431091309,1.4646131817239212,2.1450917720794678,1.1033132076263428
CAMELS_UY_3,0.8448914289474487,1.2100674857086184,1.4642633199691772,1.0164421796798706
CAMELS_UY_5,0.7849932312965393,2.160574294850639,4.668081283569336,1.1840721368789673
CAMELS_UY_6,0.8788493871688843,1.0803689134084933,1.1671969890594482,1.084449052810669
CAMELS_UY_7,0.5923441648483276,2.6856723159623934,7.212835788726807,1.1803979873657227
CAMELS_UY_8,0.7029841542243958,2.1541935056370876,4.640549659729004,1.4377901554107666
CAMELS_UY_9,0.8253186345100403,0.9694072585699675,0.9397504329681396,1.0625989437103271
