basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.25360584259033203,1.0280969563749611,1.0569833517074585,1.453765869140625
CAMELS_UY_11,0.3232352137565613,1.3065390782605206,1.7070443630218506,1.0530611276626587
CAMELS_UY_15,0.7686807513237,0.9507268534312077,0.9038815498352051,1.123166799545288
CAMELS_UY_16,0.2986776828765869,2.3835248038824046,5.681190490722656,0.9647961854934692
CAMELS_UY_2,0.6313691139221191,1.5045392178272876,2.2636382579803467,0.9856053590774536
CAMELS_UY_3,0.8228655457496643,1.2931330366147644,1.6721930503845215,0.9583389163017273
CAMELS_UY_5,0.7926468253135681,2.121770761258171,4.501911163330078,1.0569535493850708
CAMELS_UY_6,0.8551020622253418,1.1815181448015775,1.3959851264953613,1.0248379707336426
CAMELS_UY_7,0.5483715534210205,2.8268113431103523,7.9908623695373535,1.0929213762283325
CAMELS_UY_8,0.6675328016281128,2.2791309704911336,5.1944379806518555,1.278594732284546
CAMELS_UY_9,0.7855843305587769,1.0740173150980823,1.1535131931304932,1.0650173425674438
