basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.47876882553100586,0.8591423760195347,0.7381256222724915,1.4233753681182861
CAMELS_UY_11,-0.019986510276794434,1.60398658963731,2.572772979736328,1.283294439315796
CAMELS_UY_15,0.8066324591636658,0.8692439328635541,0.7555850148200989,1.356069564819336
CAMELS_UY_16,0.3215802311897278,2.3442832848699107,5.495664119720459,1.0786513090133667
CAMELS_UY_2,0.47564923763275146,1.794397387496128,3.2198619842529297,1.198850154876709
CAMELS_UY_3,0.8223993182182312,1.294833587352505,1.6765940189361572,1.110964298248291
CAMELS_UY_5,0.7506766319274902,2.326615631542098,5.413140296936035,1.286178708076477
CAMELS_UY_6,0.8059389591217041,1.3673461386060684,1.8696354627609253,1.224843144416809
CAMELS_UY_7,0.5333972573280334,2.873292498847889,8.255809783935547,1.383707880973816
CAMELS_UY_8,0.6533745527267456,2.327153969844977,5.415645599365234,1.5524331331253052
CAMELS_UY_9,0.8414218425750732,0.923644162465452,0.8531185388565063,1.109492301940918
