basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.34680628776550293,0.9617693952028197,0.9250003695487976,1.3446848392486572
CAMELS_UY_11,0.11955875158309937,1.4902314152319478,2.220789670944214,1.1853638887405396
CAMELS_UY_15,0.6011205911636353,1.248448696730801,1.5586241483688354,0.9960774779319763
CAMELS_UY_16,0.27116304636001587,2.4298307615772803,5.904077529907227,1.0646283626556396
CAMELS_UY_2,0.7524866461753845,1.2328407796848277,1.519896388053894,1.0140043497085571
CAMELS_UY_3,0.7086634039878845,1.6583995186075855,2.750288963317871,0.986677348613739
CAMELS_UY_5,0.644170880317688,2.779481990222669,7.725520133972168,1.0215778350830078
CAMELS_UY_6,0.769231915473938,1.491067116227779,2.223281145095825,1.0355747938156128
CAMELS_UY_7,0.5052416324615479,2.9587123431060425,8.753978729248047,1.0911948680877686
CAMELS_UY_8,0.5445258617401123,2.667637012684693,7.1162872314453125,1.2135584354400635
CAMELS_UY_9,0.6772599816322327,1.3176783632431115,1.7362762689590454,1.0841360092163086
