basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.27405494451522827,1.0139156335122232,1.0280249118804932,1.4795912504196167
CAMELS_UY_11,0.3274890184402466,1.30242650913844,1.696314811706543,1.0601500272750854
CAMELS_UY_15,0.7320821285247803,1.0231768443604996,1.0468908548355103,1.1942050457000732
CAMELS_UY_16,0.37160056829452515,2.25620590124597,5.090465068817139,0.9238763451576233
CAMELS_UY_2,0.41226089000701904,1.8997653665725578,3.6091084480285645,1.0418007373809814
CAMELS_UY_3,0.8279933929443359,1.2742780473992872,1.6237845420837402,0.9168654084205627
CAMELS_UY_5,0.7787574529647827,2.1916817068688674,4.803468704223633,1.036799430847168
CAMELS_UY_6,0.8447349667549133,1.223055399618592,1.4958645105361938,0.9664012789726257
CAMELS_UY_7,0.53369140625,2.8723864078222983,8.250603675842285,1.1514933109283447
CAMELS_UY_8,0.5750337839126587,2.5767489373354886,6.63963508605957,1.4819962978363037
CAMELS_UY_9,0.7592504024505615,1.1380616740122615,1.2951843738555908,1.0266438722610474
