basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.3274416923522949,0.9759216036618082,0.9524229764938354,1.3636354207992554
CAMELS_UY_11,0.14740246534347534,1.4664780108900202,2.15055775642395,1.1557347774505615
CAMELS_UY_15,0.6076837778091431,1.2381351035725003,1.5329785346984863,1.1338858604431152
CAMELS_UY_16,0.2873613238334656,2.4026778818384567,5.772861003875732,0.9629789590835571
CAMELS_UY_2,0.6708614826202393,1.4216641280198918,2.0211288928985596,0.9432253241539001
CAMELS_UY_3,0.6774702668190002,1.7449240639021488,3.04475998878479,1.0091933012008667
CAMELS_UY_5,0.6137533187866211,2.895846378287886,8.385926246643066,0.9845238327980042
CAMELS_UY_6,0.7713940143585205,1.484065696213237,2.20245099067688,0.9959254264831543
CAMELS_UY_7,0.5073803663253784,2.9523106012151503,8.716137886047363,1.0306316614151
CAMELS_UY_8,0.48476195335388184,2.8372582756968483,8.050034523010254,1.1169685125350952
CAMELS_UY_9,0.6498954892158508,1.3724035978248421,1.8834916353225708,1.0921900272369385
