basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.3417204022407532,0.9655063531568798,0.9322025179862976,1.398135781288147
CAMELS_UY_11,0.267906129360199,1.3588981669057156,1.8466042280197144,1.0141483545303345
CAMELS_UY_15,0.747191309928894,0.9939073689932267,0.9878518581390381,0.8844606280326843
CAMELS_UY_16,0.2619224786758423,2.445185648885055,5.978932857513428,0.7376803159713745
CAMELS_UY_2,0.6233366131782532,1.520843018104687,2.3129634857177734,0.9665337204933167
CAMELS_UY_3,0.8135465383529663,1.3267128112250322,1.760166883468628,0.929330587387085
CAMELS_UY_5,0.787554919719696,2.1476645449037246,4.612462997436523,1.011978268623352
CAMELS_UY_6,0.8692107200622559,1.122523442896537,1.260058879852295,0.9647589921951294
CAMELS_UY_7,0.586520254611969,2.7047884899658348,7.31588077545166,1.0190949440002441
CAMELS_UY_8,0.6506636142730713,2.336236430659925,5.458000659942627,1.2406305074691772
CAMELS_UY_9,0.7967941761016846,1.0455651700630324,1.093206524848938,1.0370792150497437
