basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.5128586292266846,0.8305723626283701,0.6898504495620728,1.3648030757904053
CAMELS_UY_11,-0.09268546104431152,1.6601644358713628,2.75614595413208,1.2890204191207886
CAMELS_UY_15,0.7102588415145874,1.0640326833258498,1.132165551185608,1.19383704662323
CAMELS_UY_16,0.2680637240409851,2.434991670786185,5.929184436798096,0.9986876845359802
CAMELS_UY_2,0.6748773455619812,1.412964621228538,1.9964690208435059,1.1800891160964966
CAMELS_UY_3,0.6973384618759155,1.690325102939828,2.85719895362854,1.131577491760254
CAMELS_UY_5,0.6677416563034058,2.685845597732606,7.213766574859619,1.2301470041275024
CAMELS_UY_6,0.7503548860549927,1.5508537371627458,2.4051473140716553,1.208306908607483
CAMELS_UY_7,0.5051850080490112,2.958881721352611,8.75498104095459,1.2885879278182983
CAMELS_UY_8,0.6076507568359375,2.4758897704021243,6.130030155181885,1.356490969657898
CAMELS_UY_9,0.7431120872497559,1.1755871279840864,1.3820050954818726,1.1478599309921265
