basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.3645051121711731,0.9486499227983897,0.8999366760253906,1.5354779958724976
CAMELS_UY_11,0.354057252407074,1.2764403622117981,1.6292999982833862,1.182205319404602
CAMELS_UY_15,0.7547116875648499,0.9790126733553831,0.9584658145904541,1.095691204071045
CAMELS_UY_16,0.3899883031845093,2.2229511085518645,4.941511631011963,0.8112416863441467
CAMELS_UY_2,0.4618692994117737,1.8178228945186552,3.3044800758361816,1.0296825170516968
CAMELS_UY_3,0.806951642036438,1.3499717391552848,1.8224236965179443,0.8854888081550598
CAMELS_UY_5,0.7857361435890198,2.156838267700849,4.651951313018799,0.985283613204956
CAMELS_UY_6,0.8111823797225952,1.3487472319906006,1.8191190958023071,0.9126614928245544
CAMELS_UY_7,0.498116672039032,2.9799404250980905,8.880044937133789,1.1194815635681152
CAMELS_UY_8,0.6265864372253418,2.415404900199795,5.83418083190918,1.4528688192367554
CAMELS_UY_9,0.7347540855407715,1.1945582983673264,1.4269695281982422,0.9752124547958374
