basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.5757634043693542,0.7750933483264081,0.6007696986198425,1.2592946290969849
CAMELS_UY_11,-0.001923680305480957,1.5897207751502576,2.527212142944336,1.2818138599395752
CAMELS_UY_15,0.706825852394104,1.0703178461317213,1.1455802917480469,1.1545745134353638
CAMELS_UY_16,0.2205391526222229,2.512800443535213,6.314166069030762,1.0965837240219116
CAMELS_UY_2,0.6963995695114136,1.3653967328324321,1.86430823802948,1.1422514915466309
CAMELS_UY_3,0.7554152607917786,1.5195197176066635,2.3089401721954346,1.1506407260894775
CAMELS_UY_5,0.6945561170578003,2.575187442957022,6.631590366363525,1.2588669061660767
CAMELS_UY_6,0.8039117455482483,1.3744694379737104,1.889166235923767,1.1763230562210083
CAMELS_UY_7,0.5559200048446655,2.803088314024716,7.857304096221924,1.2389719486236572
CAMELS_UY_8,0.6323176026344299,2.3967973400600324,5.744637489318848,1.3696476221084595
CAMELS_UY_9,0.7722475528717041,1.1069156088291374,1.22526216506958,1.0622538328170776
