,Paso de las Toscas,Paso Aguiar,Paso de las Piedras,Sarandi del Yi,Paso de las Piedras (R3),Paso Mazangano,Fraile Muerto,Paso del Borracho,Durazno,Paso Baltasar,Paso de Coelho,Tacuarembo,Paso Manuel Diaz,Paso de los Mellizos,Bequelo,Paso de la Compania
1980-01-01,,,2.389,,,,,,,,,,4.507,,,
1980-01-02,,,2.109,,,,,,,,,,5.62,,,
1980-01-03,,,1.942,,,,,,,,,,4.346,,,
1980-01-04,,,1.886,,,,,,,,,,3.107,,,
1980-01-05,,,2.003,,,,,,,,,,2.608,,,
1980-01-06,,,2.986,,,,,,,,,,2.075,,,
1980-01-07,,,1.947,,,,,,,,,,2.042,,,
1980-01-08,,,1.589,,,,,,,,,,2.042,,,
1980-01-09,,,1.861,,,,,,,,,,2.068,,,
1980-01-10,,,1.886,,,,,,,,,,2.205,,,
1980-01-11,,,1.886,,,,,,,,,,2.042,,,
1980-01-12,,,1.789,,,,,,,,,,2.042,,,
1980-01-13,,,1.234,,,,,,,,,,2.019,,,
1980-01-14,,,1.251,,,,,,,,,,1.73,,,
1980-01-15,,,1.55,,,,,,,,,,1.7,,,
1980-01-16,,,1.426,,,,,,,,,,1.679,,,
1980-01-17,,,1.21,,,,,,,,,,1.419,,,
1980-01-18,,,1.195,,,,,,,,,,1.392,,,
1980-01-19,,,1.109,,,,,,,,,,1.373,,,
1980-01-20,,,0.967,,,,,,,,,,1.142,,,
1980-01-21,,,0.993,,,,,,,,,,1.117,,,
1980-01-22,,,1.182,,,,,,,,,,1.117,,,
1980-01-23,,,1.195,,,,,,,,,,1.117,,,
1980-01-24,,,1.109,,,,,,,,,,1.117,,,
1980-01-25,,,0.83,,,,,,,,,,1.11,,,
1980-01-26,,,0.658,,,,,,,,,,1.026,,,
1980-01-27,,,0.652,,,,,,,,,,1.017,,,
1980-01-28,,,0.652,,,,,,,,,,1.017,,,
1980-01-29,,,0.652,,,,,,,,,,0.949,,,
1980-01-30,,,0.652,,,,,,,,,,0.875,,,
1980-01-31,,,0.652,,,,,,,,,,0.885,,,
1980-02-01,,,0.652,,,,,,,,,,0.936,,,
1980-02-02,,,0.652,,,,,,,,,,0.875,,,
1980-02-03,,,0.652,,,,,,,,,,0.875,,,
1980-02-04,,,0.652,,,,,,,,,,0.875,,,
1980-02-05,,,0.598,,,,,,,,,,0.875,,,
1980-02-06,,,0.341,,,,,,,,,,0.875,,,
1980-02-07,,,0.63,,,,,,,,,,0.875,,,
1980-02-08,,,0.652,,,,,,,,,,0.875,,,
1980-02-09,,,0.598,,,,,,,,,,0.875,,,
1980-02-10,,,1.136,,,,,,,,,,0.892,,,
1980-02-11,,,1.201,,,,,,,,,,1.096,,,
1980-02-12,,,0.837,,,,,,,,,,1.117,,,
1980-02-13,,,0.658,,,,,,,,,,1.117,,,
1980-02-14,,,0.652,,,,,,,,,,1.117,,,
1980-02-15,,,0.695,,,,,,,,,,1.136,,,
1980-02-16,,,1.176,,,,,,,,,,1.367,,,
1980-02-17,,,1.411,,,,,,,,,,1.384,,,
1980-02-18,,,1.111,,,,,,,,,,1.211,,,
1980-02-19,,,1.162,,,,,,,,,,1.117,,,
1980-02-20,,,0.85,,,,,,,,,,1.117,,,
1980-02-21,,,0.693,,,,,,,,,,1.117,,,
1980-02-22,,,0.652,,,,,,,,,,1.27,,,
1980-02-23,,,0.652,,,,,,,,,,1.574,,,
1980-02-24,,,0.652,,,,,,,,,,1.402,,,
1980-02-25,,,1.066,,,,,,,,,,1.392,,,
1980-02-26,,,1.847,,,,,,,,,,1.392,,,
1980-02-27,,,1.886,,,,,,,,,,1.38,,,
1980-02-28,,,1.483,,,,,,,,,,1.238,,,
1980-02-29,,,1.195,,,,,,,,,,1.219,,,
1980-03-01,,,1.501,,,,,,,,,,1.174,,,
1980-03-02,,,1.234,,,,,,,,,,1.144,,,
1980-03-03,,,1.195,,,,,,,,,,1.117,,,
1980-03-04,,,1.178,,,,,,,,,,1.117,,,
1980-03-05,,,1.084,,,,,,,,,,1.136,,,
1980-03-06,,,1.795,,,,,,,,,,1.564,,,
1980-03-07,,,2.808,,,,,,,,,,3.746,,,
1980-03-08,,,3.608,,,,,,,,,,9.757,,,
1980-03-09,,,3.216,,,,,,,,,,14.647,,,
1980-03-10,,,2.74,,,,,,,,,,13.972,,,
1980-03-11,,,2.855,,,,,,,,,,13.015,,,
1980-03-12,,,4.283,,,,,,,,,,14.407,,,
1980-03-13,,,5.637,,,,,,,,,,18.49,,,
1980-03-14,,,6.158,,,,,,,,,,20.612,,,
1980-03-15,,,5.044,,,,,,,,,,20.231,,,
1980-03-16,,,5.42,,,,,,,,,,15.772,,,
1980-03-17,,,6.222,,,,,,,,,,7.082,,,
1980-03-18,,,5.302,,,,,,,,,,8.32,,,
1980-03-19,,,4.827,,,,,,,,,,5.852,,,
1980-03-20,,,4.644,,,,,,,,,,4.593,,,
1980-03-21,,,4.109,,,,,,,,,,3.577,,,
1980-03-22,,,3.268,,,,,,,,,,3.064,,,
1980-03-23,,,2.679,,,,,,,,,,2.831,,,
1980-03-24,,,2.785,,,,,,,,,,2.831,,,
1980-03-25,,,3.511,,,,,,,,,,11.814,,,
1980-03-26,,,6.995,,,,,,,,,,40.192,,,
1980-03-27,,,8.877,,,,,,,,,,44.294,,,
1980-03-28,,,11.988,,,,,,,,,,57.605,,,
1980-03-29,,,10.155,,,,,,,,,,58.193,,,
1980-03-30,,,7.004,,,,,,,,,,62.83,,,
1980-03-31,,,4.816,,,,,,,,,,61.624,,,
1980-04-01,,,4.441,,,,,,,,,,51.008,,,
1980-04-02,,,3.465,,,,,,,,,,37.439,,,
1980-04-03,,,2.885,,,,,,,,,,26.046,,,
1980-04-04,,,2.719,,,,,,,,,,13.127,,,
1980-04-05,,,2.855,,,,,,,,,,8.725,,,
1980-04-06,,,3.069,,,,,,,,,,9.935,,,
1980-04-07,,,3.721,,,,,,,,,,18.015,,,
1980-04-08,,,3.699,,,,,,,,,,15.703,,,
1980-04-09,,,4.148,,,,,,,,,,11.689,,,
1980-04-10,,,4.618,,,,,,,,,,10.434,,,
1980-04-11,,,4.295,,,,,,,,,,25.521,,,
1980-04-12,,,7.026,,,,,,,,,,63.46,,,
1980-04-13,,,15.033,,,,,,,,,,85.555,,,
1980-04-14,,,24.791,,,,,,,,,,84.929,,,
1980-04-15,,,17.603,,,,,,,,,,87.731,,,
1980-04-16,,,17.67,,,,,,,,,,87.726,,,
1980-04-17,,,26.733,,,,,,,,,,82.002,,,
1980-04-18,,,58.57,,,,,,,,,,75.697,,,
1980-04-19,,,,,,,,,,,,,153.994,,,
1980-04-20,,,,,,,,,,,,,423.226,,,
1980-04-21,,,,,,,,,,,,,485.713,,,
1980-04-22,,,,,,,,,,,,,480.836,,,
1980-04-23,,,,,,,,,,,,,363.701,,,
1980-04-24,,,,,,,,,,,,,249.773,,,
1980-04-25,,,,,,,,,,,,,179.894,,,
1980-04-26,,,,,,,,,,,,,127.235,,,
1980-04-27,,,,,,,,,,,,,96.393,,,
1980-04-28,,,,,,,,,,,,,76.318,,,
1980-04-29,,,,,,,,,,,,,51.785,,,
1980-04-30,,,41.418,,,,,,,,,,32.289,,,
1980-05-01,,,20.572,,,,,,,,,,18.55,,,
1980-05-02,,,16.291,,,,,,,,,,13.544,,,
1980-05-03,,,14.897,,,,,,,,,,12.064,,,
1980-05-04,,,12.8,,,,,,,,,,7.237,,,
1980-05-05,,,12.294,,,,,,,,,,10.366,,,
1980-05-06,,,11.043,,,,,,,,,,9.778,,,
1980-05-07,,,8.962,,,,,,,,,,8.646,,,
1980-05-08,,,8.536,,,,,,,,,,7.139,,,
1980-05-09,,,7.691,,,,,,,,,,6.959,,,
1980-05-10,,,7.757,,,,,,,,,,11.603,,,
1980-05-11,,,8.964,,,,,,,,,,22.421,,,
1980-05-12,,,7.458,,,,,,,,,,19.49,,,
1980-05-13,,,6.981,,,,,,,,,,14.189,,,
1980-05-14,,,6.494,,,,,,,,,,12.312,,,
1980-05-15,1.887,,6.931,,,,,33.051,,,,,11.103,,,
1980-05-16,1.883,,12.588,,,,,31.87,,,,,10.075,,,
1980-05-17,1.774,,13.075,,,,,30.068,,,,,11.367,,,
1980-05-18,1.655,,13.363,,,,,31.249,,,,,9.89,,,
1980-05-19,1.592,,12.446,,,,,33.051,,,,,9.003,,,
1980-05-20,1.489,,8.778,,,,,29.95,,,,,9.003,,,
1980-05-21,1.471,,7.562,,,,,32.557,,,,,9.059,,,
1980-05-22,2.165,,7.882,,,,,48.03,,,,,9.82,,,
1980-05-23,4.206,,7.446,,,,,45.312,,,,,11.091,,,
1980-05-24,3.488,,7.333,,,,,36.559,,,,,11.445,,,
1980-05-25,2.795,,6.804,,,,,31.045,,,,,10.647,,,
1980-05-26,1.879,,5.96,,,,,25.889,,,,,9.459,,,
1980-05-27,1.601,,5.028,,,,,23.168,,,,,7.921,,,
1980-05-28,1.465,,4.8,,,,,20.664,,,,,7.072,,,
1980-05-29,1.461,,4.8,,,,,17.947,,,,,5.83,,,
1980-05-30,1.459,,4.8,,,,,17.649,,,,,5.154,,,
1980-05-31,4.288,,8.55,,,,,18.746,,,,,6.175,,,
1980-06-01,39.61,,15.153,,,,,60.794,,,,,22.623,,,
1980-06-02,51.842,,21.955,,,,,77.981,,,,,23.138,,,
1980-06-03,34.762,,21.047,,,,,73.453,,,,,20.325,,,
1980-06-04,22.277,,15.67,,,,,76.301,,,,,16.302,,,
1980-06-05,17.977,,13.292,,,,,79.627,,,,,13.645,,,
1980-06-06,13.106,,13.639,,,,,74.149,,,,,11.921,,,
1980-06-07,4.061,,13.462,,,,,61.667,,,,,10.309,,,
1980-06-08,1.905,,16.912,,,,,51.703,,,,,8.646,,,
1980-06-09,1.615,,15.017,,,,,37.826,,,,,7.478,,,
1980-06-10,1.845,,20.424,,,,,27.691,,,,,7.257,,,
1980-06-11,6.532,,40.275,,,,,27.517,,,,,10.91,,,
1980-06-12,26.185,,66.891,,,,,49.837,,,,,29.697,,,
1980-06-13,75.211,,140.055,,,,,169.058,,,,,70.8,,,
1980-06-14,115.075,,165.618,,,,,322.867,,,,,83.139,,,
1980-06-15,72.62,,135.23,,,,,654.848,,,,,94.515,,,
1980-06-16,29.347,,104.343,,,,,676.923,,,,,104.438,,,
1980-06-17,22.848,,100.056,,,,,585.373,,,,,102.513,,,
1980-06-18,21.333,,117.003,,,,,545.152,,,,,96.548,,,
1980-06-19,24.826,,120.172,,,,,522.37,,,,,95.645,,,
1980-06-20,22.732,,105.67,,,,,514.971,,,,,88.332,,,
1980-06-21,18.999,,70.931,,,,,498.485,,,,,85.23,,,
1980-06-22,16.168,,53.285,,,,,481.735,,,,,81.931,,,
1980-06-23,14.843,,68.59,,,,,427.282,,,,,73.969,,,
1980-06-24,22.728,,65.423,,,,,388.845,,,,,61.877,,,
1980-06-25,29.233,,53.706,,,,,358.415,,,,,55.699,,,
1980-06-26,28.838,,42.812,,,,,338.257,,,,,52.304,,,
1980-06-27,22.913,,43.006,,,,,284.124,,,,,51.496,,,
1980-06-28,19.761,,69.243,,,,,225.142,,,,,48.868,,,
1980-06-29,22.633,,89.647,,,,,240.393,,,,,47.772,,,
1980-06-30,95.389,,103.772,,,,,282.938,,,,,56.944,,,
1980-07-01,95.022,,120.566,,,,,289.971,,,,,66.215,,,
1980-07-02,86.165,,119.033,,,,,325.354,,,,,70.414,,,
1980-07-03,49.06,,92.913,,,,,340.491,,,,,75.248,,,
1980-07-04,39.182,,71.638,,,,,395.194,,,,,77.796,,,
1980-07-05,35.223,,59.45,,,,,398.74,,,,,74.151,,,
1980-07-06,30.403,,47.893,,,,,349.884,,,,,65.879,,,
1980-07-07,25.395,,58.171,,,,,321.29,,,,,54.371,,,
1980-07-08,37.149,,65.302,,,,,308.969,,,,,46.846,,,
1980-07-09,63.713,,62.065,,,,,269.79,,,,,36.282,,,
1980-07-10,77.382,,55.748,,,,,231.129,,,,,35.245,,,
1980-07-11,52.956,,51.998,,,,,197.235,,,,,33.168,,,
1980-07-12,24.358,,48.64,,,,,171.869,,,,,32.503,,,
1980-07-13,13.359,,44.911,,,,,147.493,,,,,31.546,,,
1980-07-14,6.812,,40.515,,,,,127.459,,,,,28.755,,,
1980-07-15,3.461,,35.428,,,,,108.266,,,,,23.456,,,
1980-07-16,2.573,,32.802,,,,,91.224,,,,,19.196,,,
1980-07-17,1.914,,29.388,,,,,78.585,,,,,16.91,,,
1980-07-18,1.887,,22.756,,,,,66.755,,,,,16.054,,,
1980-07-19,1.866,,21.345,,,,,60.261,,,,,15.063,,,
1980-07-20,1.63,,21.612,,,,,56.665,,,,,15.048,,,
1980-07-21,1.73,,25.089,,,,,55.071,,,,,15.706,,,
1980-07-22,1.74,,23.229,,,,,55.623,,,,,17.215,,,
1980-07-23,1.736,,27.635,,,,,58.555,,,,,19.802,,,
1980-07-24,1.681,,37.08,,,,,71.251,,,,,21.475,,,
1980-07-25,1.625,,58.292,,,,,80.362,,,,,23.53,,,
1980-07-26,2.087,,73.697,,,,,84.082,,,,,25.738,,,
1980-07-27,2.417,,87.938,,,,,92.343,,,,,26.733,,,
1980-07-28,1.914,,76.316,,,,,99.283,,,,,22.563,,,
1980-07-29,1.887,,66.933,,,,,103.014,,,,,19.196,,,
1980-07-30,1.887,,55.335,,,,,97.31,,,,,16.117,,,
1980-07-31,1.887,,43.82,,,,,85.52,,,,,13.389,,,
1980-08-01,1.876,,32.32,,,,,76.825,,,,,12.862,,,
1980-08-02,1.741,,26.262,,,,,64.752,,,,,11.503,,,
1980-08-03,1.723,,22.957,,,,,58.953,,,,,9.912,,,
1980-08-04,18.743,,38.494,,,,,59.108,,,,,15.682,,,
1980-08-05,93.397,,63.222,,,,,108.502,,,,,41.81,,,
1980-08-06,148.502,,119.83,,,,,233.445,,,,,66.387,,,
1980-08-07,180.799,,125.568,,,,,326.569,,,,,81.214,,,
1980-08-08,116.743,,129.115,,,,,419.784,,,,,90.493,,,
1980-08-09,42.919,,125.256,,,,,560.709,,,,,99.271,,,
1980-08-10,21.435,,143.426,,,,,546.943,,,,,100.698,,,
1980-08-11,12.189,,140.828,,,,,495.317,,,,,96.111,,,
1980-08-12,7.189,,126.743,,,,,428.59,,,,,87.378,,,
1980-08-13,4.386,,97.39,,,,,407.53,,,,,74.635,,,
1980-08-14,2.918,,69.377,,,,,397.256,,,,,54.137,,,
1980-08-15,2.286,,59.89,,,,,373.34,,,,,37.203,,,
1980-08-16,2.178,,50.119,,,,,330.544,,,,,24.89,,,
1980-08-17,1.903,,32.875,,,,,261.984,,,,,17.895,,,
1980-08-18,1.887,,22.175,,,,,159.577,,,,,14.741,,,
1980-08-19,1.857,,16.032,,,,,87.441,,,,,13.608,,,
1980-08-20,1.747,,11.99,,,,,62.065,,,,,12.923,,,
1980-08-21,1.711,,10.235,,,,,53.492,,,,,12.251,,,
1980-08-22,1.604,,9.515,,,,,50.383,,,,,11.636,,,
1980-08-23,1.588,,10.257,,,,,46.913,,,,,10.742,,,
1980-08-24,1.444,,9.66,,,,,43.169,,,,,9.834,,,
1980-08-25,1.334,,9.551,,,,,39.602,,,,,9.778,,,
1980-08-26,1.325,,9.877,,,,,36.236,,,,,9.023,,,
1980-08-27,1.251,,8.574,,,,,33.064,,,,,7.921,,,
1980-08-28,1.201,,7.678,,,,,30.082,,,,,7.411,,,
1980-08-29,1.201,,7.037,,,,,27.103,,,,,6.488,,,
1980-08-30,1.201,,6.788,,,,,22.401,,,,,6.074,,,
1980-08-31,1.201,,6.181,,,,,20.082,,,,,6.074,,,
1980-09-01,1.201,,5.384,,,,,19.915,,,,,6.074,,,
1980-09-02,1.201,,5.219,,,,,19.915,,,,,6.074,,,
1980-09-03,1.143,,4.912,,,,,19.76,,,,,5.77,,,
1980-09-04,1.079,,4.8,,,,,17.947,,,,,5.154,,,
1980-09-05,1.079,,5.086,,,,,17.793,,,,,4.843,,,
1980-09-06,1.079,,7.726,,,,,17.793,,,,,4.843,,,
1980-09-07,1.079,,7.092,,,,,17.793,,,,,4.843,,,
1980-09-08,1.079,,6.008,,,,,16.604,,,,,4.77,,,
1980-09-09,1.023,,4.806,,,,,15.825,,,,,3.859,,,
1980-09-10,0.963,,5.244,,,,,15.825,,,,,3.799,,,
1980-09-11,0.963,,5.514,,,,,15.825,,,,,4.276,,,
1980-09-12,0.963,,5.021,,,,,15.825,,,,,4.793,,,
1980-09-13,0.963,,5.341,,,,,15.825,,,,,4.843,,,
1980-09-14,0.963,,5.469,,,,,15.825,,,,,4.843,,,
1980-09-15,0.963,,6.522,,,,,15.825,,,,,4.843,,,
1980-09-16,0.963,,7.086,,,,,15.825,,,,,4.843,,,
1980-09-17,0.963,,6.117,,,,,15.825,,,,,4.805,,,
1980-09-18,0.963,,7.199,,,,,15.825,,,,,4.334,,,
1980-09-19,0.963,,8.151,,,,,15.825,,,,,4.035,,,
1980-09-20,0.963,,7.151,,,,,15.825,,,,,3.763,,,
1980-09-21,0.963,,6.772,,,,,15.825,,,,,3.531,,,
1980-09-22,0.963,,6.145,,,,,15.693,,,,,3.279,,,
1980-09-23,0.963,,5.224,,,,,14.14,,,,,3.064,,,
1980-09-24,0.963,,4.735,,,,,13.885,,,,,2.831,,,
1980-09-25,0.963,,4.604,,,,,12.454,,,,,2.831,,,
1980-09-26,0.963,,5.723,,,,,12.22,,,,,2.633,,,
1980-09-27,0.963,,4.873,,,,,10.908,,,,,2.419,,,
1980-09-28,0.963,,3.635,,,,,10.796,,,,,2.419,,,
1980-09-29,0.963,,3.342,,,,,10.693,,,,,2.419,,,
1980-09-30,0.963,,2.885,,,,,9.493,,,,,2.419,,,
1980-10-01,11.973,,20.874,,,,,12.899,,,,,8.129,,,
1980-10-02,177.428,,63.53,,,,,122.928,,,,,45.106,,,
1980-10-03,335.085,,105.802,,,,,430.1,,,,,95.215,,,
1980-10-04,468.858,,151.541,,,,,604.943,,,,,168.985,,,
1980-10-05,305.561,,190.083,,,,,690.411,,,,,258.899,,,
1980-10-06,112.272,,202.557,,,,,831.618,,,,,352.374,,,
1980-10-07,77.381,,225.284,,,,,773.08,,,,,297.618,,,
1980-10-08,33.917,,236.63,,,,,772.255,,,,,218.268,,,
1980-10-09,27.377,,231.685,,,,,791.946,,,,,170.689,,,
1980-10-10,23.732,,215.559,,,,,767.581,,,,,144.017,,,
1980-10-11,19.922,,203.487,,,,,729.019,,,,,137.466,,,
1980-10-12,14.418,,191.906,,,,,691.843,,,,,120.062,,,
1980-10-13,7.442,,132.821,,,,,641.082,,,,,100.433,,,
1980-10-14,4.414,,110.247,,,,,591.246,,,,,83.312,,,
1980-10-15,2.715,,86.664,,,,,541.229,,,,,65.222,,,
1980-10-16,1.845,,63.742,,,,,496.117,,,,,48.951,,,
1980-10-17,1.609,,45.994,,,,,432.58,,,,,32.831,,,
1980-10-18,1.572,,31.132,,,,,379.837,,,,,21.753,,,
1980-10-19,1.476,,22.153,,,,,243.536,,,,,15.663,,,
1980-10-20,1.428,,17.705,,,,,119.509,,,,,15.149,,,
1980-10-21,1.334,,18.716,,,,,69.239,,,,,14.479,,,
1980-10-22,1.268,,17.2,,,,,57.608,,,,,18.502,,,
1980-10-23,1.201,,18.55,,,,,53.01,,,,,20.598,,,
1980-10-24,1.201,,20.199,,,,,52.212,,,,,21.842,,,
1980-10-25,1.138,,21.921,,,,,52.336,,,,,21.914,,,
1980-10-26,1.079,,25.429,,,,,53.788,,,,,21.914,,,
1980-10-27,1.079,,28.387,,,,,53.912,,,,,20.707,,,
1980-10-28,1.079,,28.395,,,,,53.912,,,,,16.914,,,
1980-10-29,1.079,,26.632,,,,,53.912,,,,,13.671,,,
1980-10-30,1.079,,24.603,,,,,53.665,,,,,13.392,,,
1980-10-31,1.079,,26.4,,,,,50.647,,,,,15.32,,,
1980-11-01,1.079,,26.505,,,,,48.967,,,,,17.068,,,
1980-11-02,1.079,,28.841,,,,,48.844,,,,,17.149,,,
1980-11-03,1.071,,32.83,,,,,48.844,,,,,16.521,,,
1980-11-04,0.918,,39.033,,,,,48.967,,,,,15.709,,,
1980-11-05,0.851,,48.045,,,,,52.573,,,,,13.645,,,
1980-11-06,0.851,,55.172,,,,,55.624,,,,,11.921,,,
1980-11-07,0.851,,55.282,,,,,57.22,,,,,11.517,,,
1980-11-08,0.851,,51.472,,,,,57.472,,,,,12.236,,,
1980-11-09,0.851,,31.271,,,,,58.951,,,,,12.191,,,
1980-11-10,0.851,,22.766,,,,,58.701,,,,,11.576,,,
1980-11-11,0.834,,20.341,,,,,53.23,,,,,9.967,,,
1980-11-12,0.808,,16.655,,,,,43.375,,,,,8.949,,,
1980-11-13,0.774,,14.482,,,,,35.212,,,,,8.282,,,
1980-11-14,0.745,,13.444,,,,,32.833,,,,,7.757,,,
1980-11-15,0.729,,12.6,,,,,29.178,,,,,5.852,,,
1980-11-16,0.677,,12.872,,,,,26.899,,,,,4.593,,,
1980-11-17,0.645,,10.016,,,,,22.401,,,,,3.746,,,
1980-11-18,0.6,,8.082,,,,,19.927,,,,,2.914,,,
1980-11-19,0.551,,7.517,,,,,17.804,,,,,2.831,,,
1980-11-20,0.551,,5.752,,,,,15.969,,,,,2.803,,,
1980-11-21,0.551,,4.913,,,,,15.106,,,,,2.455,,,
1980-11-22,0.607,,8.607,,,,,14.14,,,,,4.272,,,
1980-11-23,0.738,,28.251,,,,,16.336,,,,,16.708,,,
1980-11-24,0.745,,28.836,,,,,26.2,,,,,28.89,,,
1980-11-25,0.745,,18.92,,,,,46.221,,,,,43.326,,,
1980-11-26,0.713,,27.612,,,,,53.366,,,,,51.042,,,
1980-11-27,0.661,,43.758,,,,,58.423,,,,,52.104,,,
1980-11-28,0.645,,52.946,,,,,69.309,,,,,52.028,,,
1980-11-29,0.671,,61.8,,,,,77.087,,,,,49.444,,,
1980-11-30,0.742,,74.864,,,,,85.52,,,,,44.992,,,
1980-12-01,0.745,,83.385,,,,,99.389,,,,,39.118,,,
1980-12-02,0.745,,72.087,,,,,115.316,,,,,36.575,,,
1980-12-03,0.745,,53.87,,,,,122.004,,,,,39.337,,,
1980-12-04,0.745,,46.422,,,,,120.09,,,,,43.825,,,
1980-12-05,0.745,,44.533,,,,,107.912,,,,,46.589,,,
1980-12-06,0.745,,40.387,,,,,92.405,,,,,46.768,,,
1980-12-07,0.729,,37.25,,,,,85.33,,,,,39.422,,,
1980-12-08,0.677,,34.124,,,,,83.606,,,,,32.078,,,
1980-12-09,0.645,,33.106,,,,,81.226,,,,,29.296,,,
1980-12-10,0.645,,30.721,,,,,75.586,,,,,18.846,,,
1980-12-11,0.645,,25.067,,,,,66.941,,,,,11.008,,,
1980-12-12,0.645,,16.493,,,,,55.208,,,,,7.873,,,
1980-12-13,0.6,,14.006,,,,,42.722,,,,,7.152,,,
1980-12-14,0.551,,11.867,,,,,26.951,,,,,7.874,,,
1980-12-15,0.532,,9.209,,,,,21.473,,,,,9.39,,,
1980-12-16,0.466,,7.79,,,,,19.915,,,,,10.211,,,
1980-12-17,0.499,,13.314,,,,,20.655,,,,,13.536,,,
1980-12-18,2.612,,87.799,,,,,42.11,,,,,62.153,,,
1980-12-19,17.352,,142.259,,,,,139.655,,,,,94.904,,,
1980-12-20,27.733,,138.863,,,,,241.003,,,,,136.584,,,
1980-12-21,33.027,,115.418,,,,,381.001,,,,,224.984,,,
1980-12-22,29.231,,106.824,,,,,511.183,,,,,218.318,,,
1980-12-23,17.722,,122.186,,,,,538.425,,,,,178.879,,,
1980-12-24,9.772,,133.766,,,,,514.172,,,,,134.305,,,
1980-12-25,5.221,,124.402,,,,,470.613,,,,,104.033,,,
1980-12-26,2.715,,109.243,,,,,493.437,,,,,80.155,,,
1980-12-27,1.845,,101.645,,,,,493.437,,,,,56.043,,,
1980-12-28,1.47,,76.212,,,,,452.911,,,,,33.444,,,
1980-12-29,1.187,,53.474,,,,,410.565,,,,,15.61,,,
1980-12-30,1.079,,30.586,,,,,322.686,,,,,9.649,,,
1980-12-31,1.061,,16.282,,,,,194.469,,,,,8.623,,,
1981-01-01,0.914,,11.206,,,,,77.372,,,,,8.066,,,
1981-01-02,0.851,,9.607,,,,,41.116,,1.484,,,5.96,,,
1981-01-03,0.761,,8.331,,,,,27.321,,1.305,,,5.116,,,
1981-01-04,0.645,,7.189,,,,,22.568,,1.14,,,4.299,,,
1981-01-05,0.645,,6.236,,,,,22.032,,0.987,,,3.577,,,
1981-01-06,0.645,,7.63,,,,,19.927,,1.049,,,3.714,,,
1981-01-07,0.645,,11.595,,,,,17.947,,1.352,,,7.679,,,
1981-01-08,0.645,,14.255,,,,,18.633,,1.466,,,11.017,,,
1981-01-09,0.645,,14.037,,,,,21.294,,1.477,,,11.802,,,
1981-01-10,0.645,,11.791,,,,,24.346,,1.616,,,9.862,,,
1981-01-11,0.63,,9.408,,,,,22.568,,1.63,,,6.849,,,
1981-01-12,0.573,,6.147,,,,,22.032,,1.523,,,4.649,,,
1981-01-13,0.508,,10.091,,,,,19.927,,1.209,,,3.547,,,
1981-01-14,0.462,,9.882,,,,,17.036,,0.923,,,2.871,,,
1981-01-15,0.462,,6.88,,,,,14.017,,0.745,,,2.831,,,
1981-01-16,0.462,,5.054,,,,,12.454,,0.635,,,2.831,,,
1981-01-17,0.462,,4.609,,,,,12.22,,0.497,,,2.803,,,
1981-01-18,0.462,,3.705,,,,,10.908,,0.483,,,2.455,,,
1981-01-19,0.462,,3.785,,,,,11.526,,0.483,,,3.636,,,
1981-01-20,0.462,,35.268,,,,,19.184,,0.483,,,22.799,,,
1981-01-21,0.423,,68.813,,,,,46.678,,0.483,,,40.969,,,
1981-01-22,0.344,,48.986,,,,,69.12,,0.483,,,60.72,,,
1981-01-23,0.305,,36.743,,,,,89.106,,0.527,,,71.659,,,
1981-01-24,0.305,,45.04,,,,,122.03,,1.251,,,73.908,,,
1981-01-25,0.302,,57.753,,,,,144.425,,1.604,,,68.48,,,
1981-01-26,0.278,,57.669,,,,,148.919,,1.491,,,57.291,,,
1981-01-27,0.276,,57.964,,,,,153.303,,1.82,,,41.762,,,
1981-01-28,0.351,,47.969,,,,,146.358,,5.433,,,26.796,,,
1981-01-29,0.587,,40.931,,,,,128.917,,12.816,,,19.757,,,
1981-01-30,0.645,,36.27,,,,,89.805,,12.885,,,15.863,,,
1981-01-31,0.645,,24.787,,,,,71.521,,8.632,,,12.904,,,
1981-02-01,0.693,,25.481,,,,,57.63,,5.45,,,9.595,,,
1981-02-02,0.745,,26.688,,,,,48.461,,4.38,,,8.23,,,
1981-02-03,0.745,,23.303,,,,,38.089,,4.309,,,13.994,,,
1981-02-04,0.745,,28.324,,,,,39.942,,9.497,,,33.99,,,
1981-02-05,0.745,,48.535,,,,,52.74,,16.081,,,56.455,,,
1981-02-06,0.745,,41.182,,,,,69.101,,26.924,,,79.661,,,
1981-02-07,0.745,,36.008,,,,,95.935,,37.958,,,93.639,,,
1981-02-08,0.745,,43.962,,,,,133.693,,43.078,,,89.83,,,
1981-02-09,0.745,,51.216,,,,,161.93,,30.206,,,76.236,,,
1981-02-10,0.778,,47.512,,,,,178.354,,13.89,,,59.546,,,
1981-02-11,0.901,,40.547,,,,,189.631,,7.859,,,41.239,,,
1981-02-12,1.011,,37.154,,,,,185.089,,7.071,,,33.842,,,
1981-02-13,1.078,,32.939,,,,,154.944,,11.521,,,44.043,,,
1981-02-14,1.088,,31.2,,,,,105.132,,21.685,,,60.883,,,
1981-02-15,1.253,,42.825,,,,,95.75,,35.682,,,78.752,,,
1981-02-16,1.355,,64.698,,,,,127.604,,50.498,,,97.704,,,
1981-02-17,1.512,,75.564,,,,,166.252,,57.544,,,102.694,,,
1981-02-18,1.659,,69.982,,,,,210.902,,55.455,,,112.038,,,
