,Paso de las Toscas,Paso Aguiar,Paso de las Piedras,Paso de las Piedras (R3),Paso Mazangano,Fraile Muerto,Paso del Borracho,Paso Baltasar,Paso de Coelho,Paso Manuel Diaz,Bequelo
1999-10-01,1.035,11.285,5.86,0.749,7.513,1.475,19.9,1.352,5.305,7.611,
1999-10-02,1.032,10.202,6.758,0.749,7.48,1.475,21.646,1.831,6.881,14.782,
1999-10-03,1.032,9.486,16.086,0.749,7.045,1.475,26.424,2.077,8.587,21.373,
1999-10-04,1.032,9.196,13.198,0.749,6.601,1.475,35.387,2.794,10.236,22.721,
1999-10-05,0.981,8.52,14.157,0.749,6.358,1.475,38.693,4.484,11.566,19.187,
1999-10-06,0.878,7.784,19.299,0.729,6.156,1.475,37.419,4.065,13.411,15.847,
1999-10-07,0.961,7.393,19.258,0.481,6.48,1.475,36.914,3.229,15.292,13.673,
1999-10-08,1.291,7.669,22.349,0.454,11.063,1.501,36.968,2.943,16.538,16.76,
1999-10-09,1.434,9.507,26.556,0.454,14.17,1.95,38.957,2.785,18.709,20.97,
1999-10-10,1.539,12.645,22.062,0.454,18.943,1.704,45.253,3.042,20.886,21.859,
1999-10-11,1.581,14.133,20.598,0.454,26.339,1.475,48.34,3.505,23.288,19.964,
1999-10-12,2.034,14.655,19.6,0.454,35.637,1.501,47.967,3.535,26.421,17.937,
1999-10-13,10.982,19.771,57.29,0.454,46.563,2.033,61.393,10.868,32.027,41.749,
1999-10-14,68.302,50.456,105.777,0.454,69.678,2.736,149.013,35.85,44.431,101.525,
1999-10-15,100.894,94.501,90.743,0.454,96.609,2.081,200.194,56.256,70.201,111.536,
1999-10-16,80.51,117.234,72.764,0.454,127.946,1.654,253.804,61.839,213.504,125.085,
1999-10-17,49.78,132.904,73.621,0.454,145.766,1.545,298.288,68.144,275.766,133.837,
1999-10-18,28.574,145.569,82.395,0.441,156.702,1.53,301.96,64.06,218.973,130.046,
1999-10-19,15.793,153.859,91.351,0.28,184.659,1.48,283.64,42.933,154.618,113.885,
1999-10-20,8.537,162.825,88.94,0.263,209.296,1.475,262.193,18.46,108.671,91.29,
1999-10-21,5.348,176.969,80.453,0.263,221.169,1.452,247.188,9.175,81.287,63.341,
1999-10-22,3.668,196.267,65.928,0.263,232.933,1.373,231.753,5.412,68.701,35.725,
1999-10-23,2.532,214.308,57.273,0.263,219.935,1.299,203.173,3.736,61.657,18.737,
1999-10-24,1.947,227.686,47.914,0.263,197.297,1.206,161.818,2.961,56.574,13.478,
1999-10-25,1.659,230.846,34.521,0.263,134.702,1.147,104.055,2.53,48.878,11.736,
1999-10-26,1.465,216.775,27.012,0.263,117.152,1.056,66.569,2.252,32.007,10.872,
1999-10-27,1.357,174.634,15.433,0.263,107.339,1.005,47.441,2.002,23.977,10.155,
1999-10-28,1.277,110.013,10.013,0.263,66.641,0.962,39.884,1.793,20.941,9.53,
1999-10-29,1.202,51.97,14.836,0.263,25.379,0.957,35.357,1.701,18.63,8.855,
1999-10-30,1.107,27.078,11.019,0.263,16.447,0.957,31.148,1.692,14.161,8.059,
1999-10-31,0.987,19.119,9.386,0.263,9.547,0.957,27.905,1.602,8.989,7.228,
1999-11-01,0.916,15.022,7.902,0.263,9.817,0.957,24.981,1.485,5.078,6.41,
1999-11-02,0.854,12.689,6.833,0.263,7.677,0.957,21.872,1.346,3.388,5.878,
1999-11-03,0.851,10.894,6.137,0.263,6.457,0.957,20.042,1.208,2.816,5.338,
1999-11-04,0.85,9.524,5.3,0.263,6.283,0.957,18.39,1.111,2.578,4.938,
1999-11-05,0.808,8.201,4.949,0.263,5.413,0.957,17.608,1.03,2.432,4.597,
1999-11-06,0.758,6.891,4.421,0.263,5.284,0.957,15.939,0.924,2.341,4.323,
1999-11-07,0.717,5.846,3.527,0.263,4.787,0.957,14.622,0.886,2.13,4.026,
1999-11-08,0.677,5.009,2.906,0.263,4.418,0.957,15.219,0.88,1.81,3.736,
1999-11-09,0.645,4.28,2.881,0.263,4.012,0.957,13.65,0.847,1.567,3.506,
1999-11-10,0.626,3.832,3.366,0.263,3.475,0.957,11.756,0.797,1.491,3.2,
1999-11-11,0.599,3.183,3.839,0.263,2.998,0.957,10.443,0.74,1.349,3.064,
1999-11-12,0.562,2.689,3.513,0.263,2.406,0.957,9.839,0.704,1.287,2.92,
1999-11-13,0.524,2.204,3.458,0.263,1.984,0.954,8.385,0.669,1.216,2.77,
1999-11-14,0.473,1.895,3.253,0.263,1.816,0.917,7.769,0.632,1.141,2.74,
1999-11-15,0.423,1.571,2.886,0.263,1.801,0.913,7.493,0.571,1.07,2.519,
1999-11-16,0.396,1.419,2.827,0.263,1.724,0.882,6.982,0.565,0.961,2.367,
1999-11-17,0.381,1.276,2.509,0.255,1.716,0.794,6.033,0.565,0.772,2.278,
1999-11-18,0.38,1.145,2.464,0.154,1.716,0.783,5.398,0.562,0.644,2.202,
1999-11-19,0.38,1.095,2.325,0.143,1.71,0.75,4.975,0.527,0.555,2.162,
1999-11-20,0.38,1.095,2.43,0.143,1.624,0.746,4.522,0.519,0.384,1.981,
1999-11-21,0.38,1.094,2.012,0.143,1.469,0.746,4.378,0.468,0.108,1.816,
1999-11-22,0.38,1.033,1.835,0.143,1.393,0.746,4.145,0.419,0.068,1.706,
1999-11-23,0.396,1.033,1.82,0.143,1.453,0.746,3.873,0.414,0.047,1.669,
1999-11-24,0.459,1.033,1.855,0.143,1.46,0.752,3.848,0.411,0.063,1.613,
1999-11-25,0.462,1.033,2.361,0.143,1.46,0.796,3.674,0.372,0.108,1.727,
1999-11-26,0.462,1.033,1.651,0.143,1.454,0.792,3.566,0.43,0.282,1.675,
1999-11-27,0.462,1.033,1.931,0.143,1.387,0.854,4.028,0.467,0.734,1.629,
1999-11-28,0.45,1.033,1.972,0.143,1.38,0.757,4.469,0.46,0.835,1.547,
1999-11-29,0.426,1.033,1.972,0.143,1.38,0.746,4.359,0.374,1.02,1.503,
1999-11-30,0.391,1.033,1.956,0.143,1.38,0.746,3.873,0.361,0.909,1.503,
1999-12-01,0.379,1.032,1.704,0.143,1.38,0.746,3.848,0.322,0.718,1.499,
1999-12-02,0.366,0.973,1.669,0.143,1.38,0.746,3.848,0.34,0.746,1.458,
1999-12-03,0.364,0.973,1.552,0.143,1.375,0.746,3.848,0.406,0.677,1.646,
1999-12-04,0.364,0.973,1.539,0.14,1.311,0.746,3.831,0.366,0.48,1.674,
1999-12-05,0.364,0.973,1.532,0.101,1.304,0.746,3.572,0.322,0.425,1.634,
1999-12-06,0.363,0.973,1.415,0.096,1.299,0.724,3.549,0.318,0.384,1.634,
1999-12-07,0.35,0.973,1.298,0.096,1.237,0.708,3.549,0.318,0.365,1.634,
1999-12-08,0.342,0.973,1.28,0.096,1.231,0.708,3.549,0.318,0.336,1.573,
1999-12-09,0.314,0.973,1.181,0.096,1.226,0.708,3.532,0.318,0.322,1.382,
1999-12-10,0.305,0.973,1.17,0.096,1.162,0.705,3.287,0.318,0.289,1.253,
1999-12-11,0.303,0.973,1.164,0.096,1.098,0.671,3.265,0.318,0.27,0.989,
1999-12-12,0.291,0.973,1.065,0.096,1.092,0.637,3.169,0.318,0.233,0.914,
1999-12-13,0.289,0.973,0.967,0.095,1.102,0.663,2.996,0.318,0.215,1.11,
1999-12-14,0.277,0.973,0.957,0.075,1.209,0.977,2.996,0.318,0.276,1.422,
1999-12-15,0.283,0.973,0.957,0.073,1.105,0.954,2.981,0.318,0.266,1.382,
1999-12-16,0.303,0.973,0.957,0.073,1.092,0.838,2.761,0.318,0.219,1.52,
1999-12-17,0.303,0.973,0.963,0.073,1.088,0.686,2.741,0.318,0.204,1.829,
1999-12-18,0.29,0.973,1.051,0.073,1.033,0.634,2.727,0.318,0.191,1.756,
1999-12-19,0.263,0.973,1.072,0.073,1.027,0.632,2.52,0.315,0.285,1.439,
1999-12-20,0.223,0.973,1.264,0.073,1.027,0.6,2.601,0.279,0.382,1.248,
1999-12-21,0.193,0.973,1.286,0.073,1.027,0.568,2.947,0.273,0.372,0.928,
1999-12-22,0.158,0.973,1.286,0.073,1.023,0.565,2.54,0.239,0.342,0.801,
1999-12-23,0.111,0.973,1.286,0.073,0.97,0.565,2.501,0.236,0.313,0.681,
1999-12-24,0.083,0.973,1.286,0.073,0.965,0.565,2.488,0.221,0.287,0.618,
1999-12-25,0.053,0.973,1.286,0.073,0.961,0.565,2.293,0.197,0.272,0.588,
1999-12-26,0.016,0.973,1.274,0.073,0.907,0.565,2.151,0.169,0.27,0.55,
1999-12-27,0.012,0.973,1.076,0.073,0.853,0.565,1.992,0.166,0.251,0.546,
1999-12-28,0.012,0.973,0.967,0.073,0.848,0.565,1.653,0.166,0.349,0.496,
1999-12-29,0.012,0.973,0.975,0.073,0.848,0.565,1.493,0.166,1.281,0.55,
1999-12-30,0.012,0.973,1.255,0.073,0.848,0.565,1.353,0.166,1.422,0.743,
1999-12-31,0.012,0.973,1.286,0.073,0.844,0.565,1.34,0.166,1.456,0.922,
2000-01-01,0.012,0.972,1.612,0.073,0.798,0.536,1.202,0.166,1.27,0.97,
2000-01-02,0.012,0.916,1.218,0.073,0.79,0.533,1.182,0.166,1.212,0.837,
2000-01-03,0.012,0.916,1.164,0.073,0.746,0.533,1.055,0.166,1.144,0.907,
2000-01-04,0.012,0.916,1.065,0.073,0.738,0.53,0.926,0.166,1.02,0.875,
2000-01-05,0.012,0.916,0.957,0.073,0.692,0.502,0.808,0.166,0.945,0.663,
2000-01-06,0.012,0.916,0.788,0.073,0.648,0.473,0.706,0.166,0.878,0.55,
2000-01-07,0.012,0.916,0.771,0.073,0.647,0.471,0.698,0.166,0.778,0.422,
2000-01-08,0.012,0.916,0.771,0.073,0.687,0.471,0.698,0.166,0.635,0.232,
2000-01-09,0.012,0.916,0.766,0.073,0.698,0.477,0.692,0.166,0.586,0.201,
2000-01-10,0.012,0.916,0.694,0.073,0.784,0.557,0.608,0.166,0.52,0.142,
2000-01-11,0.012,0.916,0.686,0.073,0.801,0.565,0.6,0.164,0.405,0.139,
2000-01-12,0.012,0.916,0.538,0.073,0.895,0.565,0.548,0.139,0.299,0.155,
2000-01-13,0.012,0.916,0.66,0.073,0.909,0.563,0.511,0.136,0.295,0.259,
2000-01-14,0.012,0.916,0.719,0.073,0.964,0.536,0.585,0.191,0.295,0.392,
2000-01-15,0.012,0.916,1.242,0.073,1.035,0.533,1.526,0.275,0.294,0.985,
2000-01-16,0.012,0.916,1.618,0.073,1.258,0.533,2.465,0.275,0.287,1.903,
2000-01-17,0.012,0.916,3.428,0.073,1.521,0.542,3.378,0.275,0.718,4.075,
2000-01-18,0.012,0.916,5.753,0.073,1.531,0.653,5.355,0.281,2.51,10.182,
2000-01-19,0.015,0.916,4.124,0.073,1.395,0.603,6.373,0.36,3.629,16.873,
2000-01-20,0.163,0.916,3.77,0.073,1.386,0.568,15.298,0.437,3.167,17.33,
2000-01-21,0.579,0.916,5.064,0.073,1.453,0.563,18.41,0.577,2.227,14.518,
2000-01-22,0.762,0.916,6.678,0.073,1.46,0.536,20.146,0.736,1.46,11.153,
2000-01-23,0.868,0.916,6.751,0.073,1.465,0.528,21.215,0.89,0.97,8.886,
2000-01-24,0.885,0.916,6.439,0.073,1.54,0.476,19.509,0.853,0.692,6.48,
2000-01-25,0.851,0.916,5.815,0.073,1.62,0.471,16.601,0.847,0.513,4.85,
2000-01-26,0.807,0.916,4.725,0.073,1.611,0.471,14.351,0.847,0.455,3.737,
2000-01-27,0.728,0.916,3.552,0.073,1.402,0.471,,0.847,0.551,2.988,
2000-01-28,0.649,0.916,2.868,0.073,1.356,0.471,,0.847,0.485,2.42,
2000-01-29,0.624,0.916,2.183,0.073,0.981,0.471,,0.847,0.351,2.054,
2000-01-30,0.582,0.916,1.876,0.073,0.673,0.477,,0.847,0.345,1.916,
2000-01-31,0.582,0.916,2.32,0.073,0.732,0.572,,0.847,0.504,2.309,
2000-02-01,0.585,0.916,1.883,0.073,0.908,0.761,5.186,0.847,0.7,3.036,
2000-02-02,0.551,0.916,1.813,0.073,1.027,0.715,4.814,0.847,0.588,5.469,
2000-02-03,0.525,0.916,1.69,0.073,1.027,0.665,3.926,0.847,0.455,7.2,
2000-02-04,0.498,0.916,1.719,0.073,1.027,0.634,5.204,0.847,0.515,7.985,
2000-02-05,0.49,0.916,2.397,0.073,1.027,0.647,7.253,0.849,0.627,8.072,
2000-02-06,0.473,0.916,2.493,0.073,1.027,0.715,7.789,0.88,0.611,6.735,
2000-02-07,0.511,0.916,2.812,0.073,1.027,0.539,8.279,0.883,0.547,5.298,
2000-02-08,0.638,0.916,2.905,0.073,1.027,0.533,8.882,0.898,0.451,4.316,
2000-02-09,0.676,0.916,3.8,0.073,1.189,0.533,10.392,1.16,0.417,4.137,
2000-02-10,0.744,0.916,3.48,0.073,1.29,0.533,17.375,1.336,0.425,6.159,
2000-02-11,0.71,0.916,2.886,0.073,1.111,0.533,18.743,1.415,0.463,5.684,
2000-02-12,0.656,0.916,2.5,0.078,1.088,0.533,16.728,1.503,1.387,7.416,
2000-02-13,0.703,0.916,2.298,0.145,1.033,0.533,16.184,2.021,2.846,9.49,
2000-02-14,0.784,0.916,2.003,0.252,1.027,0.53,17.899,2.666,4.438,10.262,
2000-02-15,1.016,0.916,1.99,0.263,1.051,0.492,17.647,2.949,4.786,11.668,
2000-02-16,1.185,0.916,2.287,0.263,3.626,0.471,16.093,2.539,4.326,12.648,
2000-02-17,1.2,0.916,2.643,0.263,9.872,0.471,16.358,1.916,3.635,11.254,
2000-02-18,1.15,5.516,3.02,0.255,13.261,0.471,16.194,1.526,3.113,9.362,
2000-02-19,1.045,11.186,3.212,0.154,11.699,0.471,15.649,1.202,2.872,6.875,
2000-02-20,0.934,11.512,2.886,0.143,10.06,0.471,15.096,0.934,2.717,5.454,
2000-02-21,0.873,10.539,2.847,0.143,7.677,0.471,14.001,0.884,2.171,4.411,
2000-02-22,0.807,9.665,2.827,0.143,5.555,0.471,10.625,0.838,1.492,3.822,
2000-02-23,0.734,7.378,2.491,0.143,6.11,0.471,9.942,0.684,0.917,3.59,
2000-02-24,0.685,5.407,2.156,0.143,4.927,0.471,7.722,0.664,0.686,4.26,
2000-02-25,0.639,3.985,1.971,0.143,3.681,0.471,7.086,0.603,0.635,4.723,
2000-02-26,0.624,3.037,1.704,0.143,3.522,0.471,6.411,0.568,0.652,4.224,
2000-02-27,0.611,2.413,1.676,0.143,2.287,0.5,8.569,0.565,0.805,4.13,
2000-02-28,0.633,2.066,1.7,0.152,1.84,0.581,11.331,0.565,1.097,4.427,
2000-02-29,0.607,1.84,2.08,0.265,1.888,0.609,12.167,0.565,1.282,9.395,
2000-03-01,0.572,1.497,1.971,0.437,1.823,0.453,10.757,0.565,1.322,21.499,
2000-03-02,0.568,1.333,1.712,0.441,1.915,0.415,15.575,0.588,1.727,24.873,
2000-03-03,0.569,1.297,1.842,0.28,2.239,0.411,23.242,0.781,2.046,19.594,
2000-03-04,0.569,1.228,2.477,0.263,2.541,0.388,26.464,0.913,2.094,16.552,
2000-03-05,0.569,1.227,3.591,0.255,2.221,0.386,27.39,0.895,2.176,25.751,
2000-03-06,0.589,1.207,3.946,0.154,1.878,0.386,26.372,0.749,2.283,31.908,
2000-03-07,0.636,1.076,4.67,0.143,2.557,0.386,28.884,0.704,2.232,34.086,
2000-03-08,0.645,1.033,5.796,0.143,4.09,0.386,32.053,0.672,2.172,35.964,
2000-03-09,0.645,1.496,7.317,0.143,6.261,0.386,34.15,0.666,2.144,31.348,
2000-03-10,0.645,3.931,7.777,0.143,8.373,0.386,35.658,0.635,1.936,20.301,
2000-03-11,0.645,7.068,7.852,0.143,10.206,0.386,35.515,0.6,1.649,12.396,
2000-03-12,0.644,10.173,8.392,0.143,11.384,0.371,28.491,0.568,1.467,9.397,
2000-03-13,0.619,11.171,6.857,0.143,8.43,0.36,22.919,0.562,1.425,6.745,
2000-03-14,0.596,9.925,5.307,0.143,6.319,0.36,20.096,0.523,1.356,5.401,
2000-03-15,0.545,7.415,3.994,0.143,5.313,0.358,18.887,0.468,1.278,4.633,
2000-03-16,0.516,5.224,2.93,0.143,4.35,0.337,15.513,0.419,1.237,4.075,
2000-03-17,0.533,4.318,2.491,0.143,4.404,0.342,16.044,0.414,1.1,3.839,
2000-03-18,0.551,3.344,2.156,0.143,3.787,0.464,,0.441,0.957,3.374,
2000-03-19,0.551,2.611,1.987,0.143,3.006,0.587,10.381,0.743,1.465,3.081,
2000-03-20,0.551,2.103,1.972,0.143,4.177,0.45,7.88,0.9,3.443,2.944,
2000-03-21,0.589,1.798,2.041,0.143,4.465,0.415,6.476,1.185,4.666,3.602,
2000-03-22,0.644,2.255,3.09,0.143,4.843,0.413,6.431,1.247,3.53,4.445,
2000-03-23,0.646,3.156,2.626,0.165,6.758,0.413,6.834,1.032,2.742,6.244,
2000-03-24,0.694,5.645,3.765,0.414,11.517,0.475,7.689,1.042,2.161,9.32,
2000-03-25,0.704,10.963,3.538,0.276,16.401,0.939,11.507,2.377,1.672,10.496,
2000-03-26,0.686,13.878,3.925,0.208,19.987,0.814,15.458,3.509,1.808,15.551,
2000-03-27,0.684,14.396,4.916,0.149,21.831,0.566,16.563,3.547,2.507,20.396,
2000-03-28,0.675,14.039,6.946,0.143,17.57,0.449,18.771,3.81,3.174,21.158,
2000-03-29,0.646,14.326,7.48,0.143,17.669,0.439,24.06,3.71,3.751,25.724,
2000-03-30,0.676,15.391,8.563,0.151,19.884,0.415,27.638,3.687,4.594,32.143,
2000-03-31,0.776,16.328,10.372,0.244,18.169,,32.557,3.919,5.694,34.884,
2000-04-01,0.798,17.029,10.244,0.254,17.504,0.413,37.062,3.874,5.599,34.254,
2000-04-02,0.766,16.825,16.61,0.254,16.652,0.413,40.886,3.337,4.949,30.836,
2000-04-03,0.772,15.82,17.837,0.254,18.749,0.413,42.228,2.65,4.331,23.302,
2000-04-04,0.777,15.268,18.123,0.254,22.946,0.413,,2.077,3.393,14.918,
2000-04-05,0.747,14.955,18.44,0.254,25.672,0.447,34.669,1.795,3.246,13.987,
2000-04-06,0.748,13.81,17.007,0.446,28.341,0.597,33.786,1.83,3.075,20.984,
2000-04-07,0.805,12.881,10.353,9.632,31.896,0.568,34.486,2.835,3.012,30.078,
2000-04-08,0.83,11.434,7.637,86.578,34.213,0.58,35.156,12.244,3.249,30.307,7.033
2000-04-09,0.843,10.143,6.834,101.549,33.384,0.946,36.74,18.081,3.809,24.966,7.891
2000-04-10,0.851,9.108,6.787,54.158,28.256,0.973,36.236,14.057,4.16,18.446,
2000-04-11,0.882,7.962,7.056,35.412,24.22,0.836,33.733,9.335,4.407,14.38,
2000-04-12,0.94,6.992,6.783,53.094,19.796,0.678,29.624,6.047,4.721,12.591,
2000-04-13,0.937,6.175,6.439,27.28,13.615,0.597,25.742,4.061,6.329,11.338,
2000-04-14,0.866,5.335,5.815,11.229,7.587,0.565,23.681,3.988,6.981,9.91,
2000-04-15,0.831,4.623,4.789,5.139,3.808,0.546,22.042,4.079,6.488,8.865,
2000-04-16,0.83,4.397,4.641,3.586,4.116,0.458,20.208,3.454,6.059,7.701,
2000-04-17,0.862,4.269,4.026,3.166,4.434,0.647,19.139,2.71,8.157,6.756,
2000-04-18,1.161,5.777,4.816,20.806,5.767,1.522,23.805,2.827,16.841,12.214,
2000-04-19,2.688,10.341,8.074,88.512,9.673,3.57,42.357,6.237,27.022,45.012,
2000-04-20,10.758,18.649,15.036,112.357,16.606,3.36,60.641,17.82,32.865,53.631,9.821
2000-04-21,11.267,20.885,12.221,67.416,23.668,2.746,87.145,32.032,38.611,83.341,
2000-04-22,12.258,21.409,12.997,22.443,32.077,2.422,88.315,42.656,49.35,96.024,
2000-04-23,12.404,25.492,15.266,9.256,39.114,2.078,92.965,44.976,52.884,95.277,
2000-04-24,10.638,31.901,14.563,5.672,45.99,1.811,100.551,31.844,40.114,83.456,
2000-04-25,8.455,37.42,13.882,4.182,50.3,1.448,101.952,16.123,35.59,61.842,
2000-04-26,5.911,41.693,11.653,3.26,44.307,1.15,101.223,8.724,30.687,38.153,
2000-04-27,4.157,45.705,9.926,4.401,42.726,1.051,84.893,5.368,21.812,19.412,
2000-04-28,2.911,48.79,9.759,16.598,33.875,1.051,58.622,3.572,13.888,15.373,
2000-04-29,2.075,48.178,9.759,7.667,30.548,1.051,39.952,2.95,14.472,20.553,
2000-04-30,1.649,43.538,9.695,4.685,33.351,3.15,36.8,3.05,17.622,20.97,
2000-05-01,21.876,58.185,10.094,7.858,102.672,51.613,,12.596,36.87,23.273,
2000-05-02,146.667,167.134,25.412,51.765,137.952,,262.383,52.506,99.542,46.32,9.087
2000-05-03,152.974,305.176,40.782,72.361,153.011,48.038,292.094,76.575,290.145,65.396,24.671
2000-05-04,169.872,378.14,53.219,46.472,164.317,,268.671,87.421,480.406,108.946,26.141
2000-05-05,202.931,396.343,70.047,27.244,194.632,,278.035,113.794,477.265,129.857,18.934
2000-05-06,197.438,443.295,88.921,54.63,301.235,,286.975,133.267,476.744,141.836,93.155
2000-05-07,102.767,496.981,111.524,59.793,372.741,26.59,290.811,110.803,379.184,150.422,167.787
2000-05-08,69.546,494.646,138.861,33.289,478.972,10.81,294.659,86.119,332.033,163.829,48.763
2000-05-09,48.118,478.008,156.347,14.314,539.27,6.61,295.476,65.281,311.699,156.601,17.632
2000-05-10,31.419,517.457,150.575,8.327,520.209,4.823,295.826,42.83,295.648,144.117,
2000-05-11,20.113,590.549,136.874,5.475,456.864,3.933,297.659,23.197,238.817,127.035,
2000-05-12,13.976,595.176,107.728,4.486,421.551,3.617,298.671,13.56,168.265,99.431,
2000-05-13,9.9,556.634,83.068,3.875,401.718,3.435,295.136,9.411,100.498,65.554,
2000-05-14,7.742,509.28,65.171,4.144,395.087,3.048,286.029,7.233,82.559,37.011,
2000-05-15,19.153,463.665,50.972,14.93,370.65,2.698,,24.756,79.237,35.864,40.277
2000-05-16,192.386,533.245,113.039,105.667,330.118,,366.364,199.499,107.085,153.324,299.896
2000-05-17,217.272,601.715,132.686,115.929,321.597,,403.898,427.416,328.456,208.185,337.091
2000-05-18,160.118,649.695,107.301,75.518,282.419,20.148,,265.151,550.207,248.909,128.13
2000-05-19,76.503,573.185,95.088,42.532,262.793,12.652,,181.433,443.401,251.311,34.81
2000-05-20,39.688,467.944,108.535,16.132,255.011,8.245,484.606,137.523,289.62,225.778,17.671
2000-05-21,22.739,386.149,121.491,9.692,248.487,6.015,464.697,101.22,210.48,186.728,
2000-05-22,19.255,350.438,119.261,6.946,248.341,5.058,434.491,69.977,147.283,162.588,
2000-05-23,15.128,324.781,101.779,5.736,255.645,4.617,400.693,37.54,98.419,137.971,
2000-05-24,11.462,306.237,80.518,5.034,264.283,4.135,363.326,18.791,72.058,111.028,
2000-05-25,14.519,298.477,67.768,13.127,275.208,6.48,330.554,14.394,53.727,81.955,34.23
2000-05-26,51.545,309.947,95.824,67.934,265.51,,340.1,27.049,57.766,83.492,100.958
2000-05-27,58.558,324.121,92.736,57.107,247.022,26.28,322.606,37.804,74.402,81.833,82.109
2000-05-28,51.572,334.176,70.103,27.974,229.081,8.638,299.239,41.292,107.78,89.64,21.663
2000-05-29,42.591,337.546,67.58,12.264,204.694,5.815,286.261,40.879,196.355,90.286,10.209
2000-05-30,28.193,322.419,74.878,7.507,183.89,4.904,277.574,31.347,173.644,83.87,
2000-05-31,18.223,290.397,84.045,5.594,188.899,4.344,255.672,19.448,125.074,73.962,
2000-06-01,12.209,256.656,79.924,4.825,215.403,3.915,230.419,12.913,86.749,63.133,
2000-06-02,8.581,238.061,69.33,4.321,266.954,3.525,208.942,9.653,63.495,47.081,
2000-06-03,6.064,239.256,54.796,3.875,286.818,3.205,188.175,7.666,42.168,31.823,
2000-06-04,4.174,252.971,44.408,3.833,336.68,3.086,160.472,6.35,27.631,22.699,
2000-06-05,3.193,266.531,34.8,3.833,292.341,3.081,121.019,5.174,18.992,18.392,
2000-06-06,2.651,274.127,27.379,4.146,238.918,4.265,90.351,4.212,15.463,16.607,
2000-06-07,28.833,284.261,25.624,17.414,199.039,23.317,76.37,4.517,13.342,17.706,
2000-06-08,56.1,305.373,32.826,72.668,179.521,19.009,181.27,10.96,17.225,16.601,
2000-06-09,46.859,302.666,37.319,86.47,148.387,12.622,201.177,12.873,47.405,22.511,
2000-06-10,155.727,303.47,100.473,44.157,143.381,40.61,240.204,41.707,271.369,69.364,
2000-06-11,386.913,345.595,149.977,49.196,208.377,,481.373,140.622,757.611,139.731,
2000-06-12,253.464,396.345,158.895,44.618,273.784,28.865,431.361,111.837,803.024,148.898,
2000-06-13,101.678,433.085,148.968,23.025,521.28,11.213,565.038,109.274,515.97,193.37,
2000-06-14,60.78,441.284,161.059,11.754,607.996,7.755,573.049,117.632,379.135,205.953,
2000-06-15,33.929,573.233,171.484,7.718,611.429,6.621,471.666,83.208,261.499,179.198,
2000-06-16,20.957,701.906,164.585,6.55,555.377,11.395,402.458,50.636,171.357,147.058,
2000-06-17,14.163,706.334,139.153,6.455,485.649,8.66,350.976,20.65,106.185,129.715,
2000-06-18,10.22,657.914,111.483,5.958,434.664,6.557,331.732,16.108,72.025,104.542,
2000-06-19,7.749,596.208,109.244,5.367,376.082,5.823,325.335,14.0,48.704,78.596,
2000-06-20,5.953,526.51,124.392,4.518,318.608,5.143,315.138,13.851,37.129,72.104,
2000-06-21,4.873,456.027,118.672,4.308,284.011,4.556,299.403,14.609,34.212,74.175,
2000-06-22,4.275,389.755,123.79,4.276,247.672,3.936,275.247,15.188,31.094,74.653,
2000-06-23,3.881,354.08,121.35,3.875,204.496,3.846,253.485,13.005,26.55,69.468,
2000-06-24,3.396,317.857,78.544,3.833,177.603,3.699,236.574,10.32,22.702,62.789,
2000-06-25,3.33,268.653,61.371,3.833,119.065,3.496,217.692,8.543,19.34,50.44,
2000-06-26,3.008,210.349,47.783,3.833,93.14,3.109,191.925,7.104,17.025,37.873,
2000-06-27,2.438,153.267,41.693,3.802,71.597,2.899,159.738,6.655,15.539,28.165,
2000-06-28,18.882,141.228,115.548,3.456,75.498,,142.23,21.259,16.042,54.293,
2000-06-29,67.218,201.497,175.926,3.981,118.201,,227.489,61.475,24.149,108.842,
2000-06-30,83.315,257.202,173.682,4.12,140.725,13.667,281.602,79.453,147.259,121.791,
2000-07-01,82.766,292.047,151.956,3.833,182.255,11.524,504.14,107.657,529.463,146.496,
2000-07-02,156.159,326.939,271.009,3.833,,,678.963,146.81,537.929,213.683,
2000-07-03,179.452,376.282,331.438,3.833,,39.302,692.921,143.97,504.313,252.103,
2000-07-04,146.514,506.646,311.81,3.833,,12.828,830.145,103.979,474.707,372.028,
2000-07-05,74.68,719.026,295.022,3.833,,10.204,887.875,102.152,426.356,331.821,
2000-07-06,39.367,881.091,293.603,3.802,,9.535,819.883,96.842,342.25,259.545,
2000-07-07,25.738,943.084,276.385,3.425,,8.369,795.137,63.353,256.544,205.175,
2000-07-08,24.672,890.199,229.715,3.595,,6.454,729.033,42.64,170.854,164.289,
2000-07-09,43.298,801.434,173.881,4.622,,6.31,650.438,21.744,118.981,136.81,
2000-07-10,89.508,730.839,147.326,12.133,,14.549,601.142,22.763,89.726,122.978,20.779
2000-07-11,141.83,731.581,155.315,72.604,,,638.579,49.237,99.65,128.951,130.589
2000-07-12,151.65,727.523,158.645,109.118,,32.5,563.364,62.042,256.254,134.094,283.014
2000-07-13,117.585,666.214,138.134,73.573,,18.433,530.744,61.881,407.105,144.621,155.623
2000-07-14,72.072,583.626,116.179,41.225,,12.464,514.242,64.871,361.393,150.776,97.358
2000-07-15,45.618,512.421,119.489,19.222,,10.109,452.159,65.454,270.884,142.535,83.805
2000-07-16,34.366,462.166,116.796,11.135,,7.239,378.611,57.714,185.329,133.844,61.443
