basin,product,peak_timing,missed_peaks,mape_peak
01411300,CARAVAN,0.2835820895522388,0.6666666666666666,47.22236178696841
01411300,CHIRPS,0.26865671641791045,0.43478260869565216,41.07316046566352
01411300,MSWEP,0.23880597014925373,0.3333333333333333,27.86265061751004
01466500,CARAVAN,0.6060606060606061,0.7761194029850746,53.97979772422462
01466500,CHIRPS,0.5454545454545454,0.582089552238806,43.01551069604324
01466500,MSWEP,0.3484848484848485,0.7164179104477612,43.22814111225222
01487000,CARAVAN,0.3230769230769231,0.5909090909090909,47.066974646074286
01487000,CHIRPS,0.23076923076923078,0.5,29.721846016585012
01487000,MSWEP,0.15384615384615385,0.3484848484848485,21.857381040594372
01638480,CARAVAN,0.9264705882352942,0.6956521739130435,65.24570855754475
01638480,CHIRPS,0.7647058823529411,0.4927536231884058,48.67909450732275
01638480,MSWEP,0.6029411764705882,0.43478260869565216,41.93322122632888
01644000,CARAVAN,0.9701492537313433,0.6764705882352942,69.1942871563426
01644000,CHIRPS,0.7014925373134329,0.5294117647058824,48.31916967810787
01644000,MSWEP,0.5671641791044776,0.47058823529411764,44.59008889413893
01666500,CARAVAN,0.7575757575757576,0.5757575757575758,67.91330389316342
01666500,CHIRPS,0.7121212121212122,0.5909090909090909,53.74913600284715
01666500,MSWEP,0.45454545454545453,0.36363636363636365,46.55311490647547
01667500,CARAVAN,0.7272727272727273,0.5909090909090909,70.13212485448398
01667500,CHIRPS,0.6666666666666666,0.6060606060606061,49.445855958890164
01667500,MSWEP,0.42424242424242425,0.36363636363636365,42.98334930514346
01669000,CARAVAN,0.3333333333333333,0.582089552238806,41.60591400213891
01669000,CHIRPS,0.19696969696969696,0.4626865671641791,27.983261494866163
01669000,MSWEP,0.0,0.1044776119402985,11.645403887512368
01669520,CARAVAN,0.390625,0.5538461538461539,47.59031170702633
01669520,CHIRPS,0.28125,0.49230769230769234,31.878969988854035
01669520,MSWEP,0.015625,0.26153846153846155,13.933796973821932
02027000,CARAVAN,0.8939393939393939,0.5652173913043478,70.5132276533755
02027000,CHIRPS,0.5454545454545454,0.4927536231884058,48.604617152701366
02027000,MSWEP,0.6060606060606061,0.4782608695652174,51.190980229122
02038850,CARAVAN,0.9104477611940298,0.6176470588235294,66.98965562834557
02038850,CHIRPS,0.5223880597014925,0.5,40.582277310847914
02038850,MSWEP,0.4626865671641791,0.3235294117647059,40.287760840266166
02046000,CARAVAN,0.8985507246376812,0.5942028985507246,62.11638241313611
02046000,CHIRPS,0.463768115942029,0.6956521739130435,45.09608668896539
02046000,MSWEP,0.43478260869565216,0.5362318840579711,42.68773128359488
02053200,CARAVAN,0.7164179104477612,0.6029411764705882,63.16189894498076
02053200,CHIRPS,0.582089552238806,0.45588235294117646,50.50376659969197
02053200,MSWEP,0.5671641791044776,0.4264705882352941,47.03634874240489
02053800,CARAVAN,0.7681159420289855,0.6811594202898551,66.7785107420484
02053800,CHIRPS,0.4782608695652174,0.5652173913043478,41.032045407687725
02053800,MSWEP,0.391304347826087,0.37681159420289856,38.67022565856887
02055100,CARAVAN,0.6764705882352942,0.6323529411764706,58.053405484247946
02055100,CHIRPS,0.6176470588235294,0.4852941176470588,46.33420073138389
02055100,MSWEP,0.47058823529411764,0.39705882352941174,35.50591701187934
02064000,CARAVAN,0.8840579710144928,0.5942028985507246,63.347658874265555
02064000,CHIRPS,0.6811594202898551,0.5652173913043478,45.682625246038285
02064000,MSWEP,0.463768115942029,0.4057971014492754,40.9301463429374
02065500,CARAVAN,0.7910447761194029,0.5588235294117647,65.68911044307605
02065500,CHIRPS,0.6268656716417911,0.5441176470588235,45.153916841939065
02065500,MSWEP,0.582089552238806,0.3235294117647059,42.18250468217482
02081500,CARAVAN,0.9705882352941176,0.7,64.28958783634904
02081500,CHIRPS,0.6029411764705882,0.5857142857142857,42.00368537752126
02081500,MSWEP,0.47058823529411764,0.5,43.73002098280156
02082950,CARAVAN,0.7692307692307693,0.6865671641791045,65.93781349599975
02082950,CHIRPS,0.7076923076923077,0.5074626865671642,50.20848867176151
02082950,MSWEP,0.7846153846153846,0.417910447761194,46.73038875101967
02092500,CARAVAN,0.7878787878787878,0.5757575757575758,62.14483300579241
02092500,CHIRPS,0.45454545454545453,0.42424242424242425,40.80485018363911
02092500,MSWEP,0.3484848484848485,0.2878787878787879,37.349077829969886
02108000,CARAVAN,0.6,0.6268656716417911,55.810200681161525
02108000,CHIRPS,0.4461538461538462,0.4626865671641791,37.1540877535709
02108000,MSWEP,0.2923076923076923,0.34328358208955223,37.36795150121499
02118500,CARAVAN,0.5909090909090909,0.6119402985074627,56.89323803197062
02118500,CHIRPS,0.3181818181818182,0.6119402985074627,40.45335697449819
02118500,MSWEP,0.3484848484848485,0.3880597014925373,35.91302113746768
02125000,CARAVAN,0.859375,0.6307692307692307,63.90205660378773
02125000,CHIRPS,0.53125,0.46153846153846156,43.32948512244432
02125000,MSWEP,0.5625,0.5076923076923077,39.30545123541344
02140991,CARAVAN,0.6615384615384615,0.5606060606060606,54.01271593947985
02140991,CHIRPS,0.36923076923076925,0.5,41.66210400168538
02140991,MSWEP,0.27692307692307694,0.30303030303030304,31.916379892165025
02143040,CARAVAN,0.4,0.6363636363636364,50.598201060841944
02143040,CHIRPS,0.23076923076923078,0.4090909090909091,36.43865205957362
02143040,MSWEP,0.2923076923076923,0.4393939393939394,27.601931152744726
02193340,CARAVAN,0.7611940298507462,0.6567164179104478,67.47135689964476
02193340,CHIRPS,0.5671641791044776,0.43283582089552236,47.77768447999979
02193340,MSWEP,0.6567164179104478,0.4626865671641791,49.38695582292447
02202600,CARAVAN,0.8064516129032258,0.5238095238095238,61.398976663450014
02202600,CHIRPS,0.532258064516129,0.5873015873015873,40.766912793271246
02202600,MSWEP,0.5806451612903226,0.3492063492063492,39.18041444521733
02212600,CARAVAN,0.8208955223880597,0.7681159420289855,64.73050551218591
02212600,CHIRPS,0.582089552238806,0.5942028985507246,46.003708961682364
02212600,MSWEP,0.5223880597014925,0.5507246376811594,41.85462349482545
02215100,CARAVAN,0.9253731343283582,0.6911764705882353,67.73036162903797
02215100,CHIRPS,0.835820895522388,0.5,47.04856621440043
02215100,MSWEP,0.47761194029850745,0.5735294117647058,47.99176872914298
02216180,CARAVAN,1.09375,0.6,74.96875550382363
02216180,CHIRPS,0.75,0.6153846153846154,49.982623719223575
02216180,MSWEP,0.65625,0.5846153846153846,52.50576523652386
02221525,CARAVAN,0.6716417910447762,0.7794117647058824,67.8700428561702
02221525,CHIRPS,0.5223880597014925,0.6470588235294118,47.88011134019759
02221525,MSWEP,0.417910447761194,0.47058823529411764,35.20320492093808
02231000,CARAVAN,1.0588235294117647,0.5797101449275363,65.20116903461364
02231000,CHIRPS,0.5,0.5942028985507246,46.45608828873491
02231000,MSWEP,0.5735294117647058,0.4492753623188406,43.9240812608582
02246000,CARAVAN,0.5625,0.5692307692307692,59.30091271033619
02246000,CHIRPS,0.5,0.5846153846153846,41.77644871998165
02246000,MSWEP,0.484375,0.4461538461538462,43.06569000378411
