gauge_id,aridity,high_prec_dur,frac_snow,sand_frac,low_prec_freq,elev_mean,high_prec_freq,clay_frac,area_gages2,pet_mean,p_mean,gauge_name,low_prec_dur,slope_mean,silt_frac
CAMELS_UY_10,0.717773086502974,1.2038461538461538,0.0,46.01511003181723,0.6646132785763176,169.30758165659205,0.064271047227926,30.243463876285464,6530.808541,2.8103258042436687,3.915340177960301,Paso Mazangano,4.354260089686099,12.72590723834544,23.70679055007477
CAMELS_UY_7,0.7163613391204223,1.221794871794872,0.0,46.16776592952044,0.6782340862422997,175.07300675138563,0.0652292950034223,29.245497855578705,2419.341041,2.8445674195756334,3.9708555783709785,Paso de Coelho,4.570571955719557,15.56120124021164,24.61138249767044
CAMELS_UY_12,0.7879330738878002,1.213032581453634,0.0,51.963861645138174,0.7089664613278577,198.93263950008617,0.0662559890485968,25.76785341665684,1381.247863,2.6877659137577,3.411160164271048,Sarandi del Yi,4.813197026022305,19.23404234655376,22.247985531753244
CAMELS_UY_8,0.7126037757708776,1.232258064516129,0.0,47.650490232091606,0.6847364818617385,151.68299153358078,0.0653661875427789,29.976672796415222,970.9329836,2.7954099931553733,3.922811088295688,Paso de las Toscas,4.561787505699955,14.357645857092836,22.190910748224688
CAMELS_UY_15,0.8178193277381643,1.2345360824742269,0.0,43.81493143630001,0.7198494182067078,79.27904057681104,0.0655715263518138,30.75811554145924,791.650467,2.993269678302533,3.6600622861054073,Paso de las Piedras (R3),5.027246653919694,12.119888696749758,25.83748801187126
CAMELS_UY_6,0.7396339390919134,1.2183006535947711,0.0,49.20399789262712,0.6784394250513347,184.5018047827321,0.0637919233401779,27.180635949814988,6601.754962,2.929770020533881,3.961108145106092,Paso del Borracho,4.59953596287703,24.31365953518588,23.66768037273477
CAMELS_UY_16,0.8842482235306635,1.2267365661861074,0.0,43.48271909673288,0.730321697467488,71.72808271402307,0.0640657084188911,34.17761790240175,1141.147308,2.940967830253251,3.325952772073922,Bequelo,4.965100046533271,11.89080586133012,21.98847659852913
CAMELS_UY_2,0.7434241345851677,1.2300531914893618,0.0,52.354705521348656,0.6788501026694045,185.27367864416848,0.0633127994524298,25.54709458514328,1923.08403,2.956683778234086,3.977115674195757,Paso de las Piedras,4.589541878759833,19.613217980525583,21.97503746689245
CAMELS_UY_5,0.7568098521910832,1.2225130890052356,0.0,52.807840440383615,0.6932238193018481,198.01700648102167,0.0639288158795345,25.77910450532807,917.6095886,2.9429356605065022,3.888606433949349,Paso Baltasar,4.763875823142051,34.10858898887869,21.72123397217683
CAMELS_UY_11,0.7259938352351667,1.237265415549598,0.0,47.02597469197821,0.683504449007529,212.24536662200805,0.0631759069130732,29.516960977029147,314.411261,2.6914271047227927,3.7072313483915127,Fraile Muerto,4.468008948545862,26.62019610966424,23.99716482017157
CAMELS_UY_14,0.8118344821140682,1.2438709677419355,0.0,41.74430535480004,0.7151266255989048,92.51240546306838,0.0659822039698836,31.77120657780093,2196.82399,2.972767282683094,3.661789869952088,Paso de los Mellizos,4.968140751307656,16.970604825415155,26.58184884217092
CAMELS_UY_3,0.7291063106953969,1.2265415549597856,0.0,48.99335242609543,0.680766598220397,214.94434209806133,0.0626283367556468,26.954383712042297,2212.331158,2.961974674880219,4.062472963723477,Paso Manuel Diaz,4.617455896007428,37.25444031358755,24.091182362891416
CAMELS_UY_9,0.7187553402113058,1.2115384615384617,0.0,46.25493026014301,0.6646132785763176,161.73292912740536,0.0646817248459959,30.245864166699345,8044.566285,2.8011430527036274,3.897213552361397,Paso Aguiar,4.3797925124041495,12.309230863508557,23.51005998536721
CAMELS_UY_1,0.7278553166403146,1.2202072538860105,0.0,46.68886217891275,0.6847364818617385,170.94694164763263,0.0644763860369609,30.421807686476445,1044.805388,2.859711156741957,3.928955509924709,Paso de la Compania,4.6016559337626495,14.874895188487772,23.072536963555656
CAMELS_UY_4,0.7554509530513094,1.2315653298835705,0.0,51.92252936893436,0.6986995208761122,201.2318214442644,0.065160848733744,26.804885005960312,673.2861396,2.901367556468173,3.840577002053388,Tacuarembo,4.785747773089545,29.31236997792924,21.2719492911683
CAMELS_UY_13,0.808500795711211,1.2118537200504411,0.0,51.22594595750364,0.705886379192334,147.54420943916145,0.0657768651608487,27.650172258856124,8881.479722,2.728653661875428,3.374954825462012,Durazno,4.778962001853568,14.38830821379156,21.11025304690471
