basin_id,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-KGE,Beta-NSE,FHV,FMS,FLV,Peak-Timing,Missed-Peaks,Peak-MAPE
camels_01411300,0.42457735538482666,0.9800145626068115,0.9899568488610054,0.3985560162466125,0.5182075220238986,0.7170765399932861,0.7773675918579102,-0.22376858267870456,-43.67843246459961,-19.53835105895996,6.012143135070801,0.25,0.4716981132075472,51.875221252441406
camels_01487000,0.6365580558776855,0.49896240234375,0.7063727078134814,0.775475801437282,0.8927632944413018,0.8029369115829468,0.9911940693855286,-0.008994681002592349,-9.784942626953125,-8.151369094848633,-79.14615631103516,0.3333333333333333,0.47619047619047616,43.20003890991211
camels_01491000,0.5052309036254883,2.1754539012908936,1.4749419992972244,0.48773808176431577,0.5668368059314025,0.729544460773468,1.040444016456604,0.02303071125345539,-42.93817901611328,-25.311058044433594,53.46240234375,0.4444444444444444,0.5490196078431373,69.8966064453125
camels_01644000,0.3251670002937317,2.591986656188965,1.6099647996738826,0.6354935668044404,1.0673342740760894,0.6904650330543518,1.1803306341171265,0.0977040365869006,12.345015525817871,-17.779653549194336,90.33395385742188,0.6363636363636364,0.6226415094339622,65.708740234375
camels_01664000,0.43939852714538574,2.53096866607666,1.5909018404906885,0.6959046082239191,0.9406063889328993,0.7041393518447876,0.9624117016792297,-0.022273754280166733,-4.175384044647217,-3.5241611003875732,69.38375854492188,0.23809523809523808,0.559322033898305,58.1805305480957
camels_01667500,0.35260915756225586,4.829722881317139,2.1976630499958674,0.5895056204635167,0.8339664151797187,0.628851592540741,0.9435434937477112,-0.02780023058401582,-8.073787689208984,-1.6531354188919067,77.39762878417969,0.15,0.5087719298245614,64.19107055664062
camels_02028500,0.3589823246002197,4.9090166091918945,2.2156300704747385,0.589017956943964,0.8669468524374947,0.645781397819519,0.8395871520042419,-0.09558720334113864,-15.987637519836426,-19.4249324798584,67.99520111083984,0.38095238095238093,0.5555555555555556,56.589073181152344
camels_02051500,0.5536711812019348,1.3534355163574219,1.1633724753308468,0.6849788722044066,0.9245529115812428,0.7668444514274597,1.197950839996338,0.09750421713069994,-8.019956588745117,-20.88190460205078,58.03369140625,0.5789473684210527,0.5740740740740741,54.574214935302734
camels_02053200,0.42711347341537476,2.8260555267333984,1.6810876023376649,0.5965398102859074,0.8452896275076063,0.6787917017936707,1.1888651847839355,0.07696219406642996,-15.31694221496582,-60.52344512939453,88.10083770751953,1.3125,0.6666666666666666,55.21240234375
camels_02053800,0.2840154767036438,2.212155342102051,1.4873316180670841,0.6302799172843296,1.038475952707584,0.6597350835800171,1.1393998861312866,0.08826453228844326,5.169740200042725,-13.674627304077148,36.20886993408203,0.3,0.48214285714285715,55.34209060668945
camels_02056900,0.28056788444519043,2.280039072036743,1.5099798250429517,0.6289015441520887,1.032303374642527,0.655748724937439,1.1347650289535522,0.08744190381970479,3.432137966156006,-7.646509170532227,64.36690521240234,0.4,0.4098360655737705,57.30363082885742
camels_02059500,0.3594508171081543,2.2136611938476562,1.4878377579049593,0.6244126569358874,0.9211638894521252,0.6586898565292358,1.1354920864105225,0.07436213328346929,-2.627387523651123,11.03482723236084,63.51926803588867,0.19047619047619047,0.423728813559322,47.95189666748047
camels_02069700,-0.11743807792663574,2.4734809398651123,1.5727304091499956,0.48399013036659977,1.372459037725067,0.6436646580696106,0.9762182831764221,-0.024519274375690476,29.824342727661133,15.886637687683105,34.29966735839844,0.375,0.5161290322580645,56.9462890625
camels_02070000,0.024228692054748535,2.5744450092315674,1.604507715541302,0.5333602939460804,1.3230965512362138,0.6721034049987793,1.0764529705047607,0.060872387901746386,19.105953216552734,41.537540435791016,50.34040832519531,0.20833333333333334,0.5074626865671642,64.62788391113281
camels_02074500,0.28281694650650024,4.717331886291504,2.1719419619988707,0.5630136399254484,0.8473442934085138,0.5905574560165405,0.9968180656433105,-0.001395550803320206,-11.406638145446777,30.695999145507812,30.155569076538086,0.15,0.5714285714285714,51.98548889160156
camels_02077200,0.23994123935699463,13.79175853729248,3.713725694944698,0.2712484462005895,0.5014268378043679,0.49142196774482727,1.1544408798217773,0.038133363915225475,-36.0174446105957,-57.981712341308594,91.20793914794922,0.29411764705882354,0.4,58.80157470703125
camels_02081500,0.5252926349639893,4.124277114868164,2.030831631344205,0.5069441929614877,0.6591970626266593,0.7321053147315979,1.2349251508712769,0.07327832215821521,-31.394750595092773,-57.88994598388672,91.35066986083984,0.47368421052631576,0.5161290322580645,59.20732498168945
camels_02092500,0.3248061537742615,4.054614543914795,2.013607346012324,0.5880038595564898,1.1047552193775518,0.7058234214782715,1.2687513828277588,0.11930545806036708,13.86602783203125,-47.79692840576172,89.88753509521484,1.5263157894736843,0.7391304347826086,47.8414192199707
camels_02096846,0.4643532633781433,4.554548263549805,2.1341387638927802,0.4558859681086749,0.8023880844500523,0.700140118598938,1.4087709188461304,0.12405081341096239,-15.820497512817383,-61.015708923339844,90.32792663574219,0.3684210526315789,0.5087719298245614,60.674678802490234
camels_02102908,-0.047989726066589355,1.4839853048324585,1.2181893550809162,0.5231160764695062,1.1599788062029823,0.5734273195266724,0.8590716123580933,-0.18102714380826768,-2.579136848449707,10.523953437805176,-20.33271026611328,0.25,0.581081081081081,54.0599365234375
camels_02111180,0.26209014654159546,8.282291412353516,2.8778970468648657,0.5753188309736181,0.8970452592456851,0.5959625840187073,1.080673336982727,0.04930868410331042,-12.35787296295166,-15.702652931213379,-1.486718773841858,0.47619047619047616,0.48333333333333334,53.09760665893555
camels_02111500,-0.2168867588043213,4.531914234161377,2.128829310715487,0.46768501142394736,1.310444289766206,0.573965311050415,1.0740137100219727,0.06264042424336767,25.539108276367188,12.32336139678955,11.354662895202637,0.3333333333333333,0.5,45.86277770996094
camels_02112120,-0.08392536640167236,3.769223690032959,1.9414488636152534,0.5180150403817574,1.1839485352389867,0.5572688579559326,1.0496143102645874,0.04178667083811214,15.927474021911621,7.001200199127197,19.15938949584961,0.21739130434782608,0.5079365079365079,55.121421813964844
camels_02112360,-0.3874398469924927,2.8264496326446533,1.681204815792726,0.38384497786990135,1.4689465251218072,0.6039442420005798,0.9463715553283691,-0.06290733234978899,34.908809661865234,41.84511184692383,-35.295467376708984,0.46153846153846156,0.6056338028169014,54.614891052246094
camels_02118500,0.01739215850830078,3.7787907123565674,1.943911189421103,0.5563890177992074,1.1672033307417027,0.5914503335952759,1.0438283681869507,0.0305078481422021,4.795191287994385,4.303576946258545,33.793907165527344,0.3684210526315789,0.6153846153846154,51.47832489013672
camels_02125000,0.33961760997772217,9.014120101928711,3.002352428001868,0.37792736958307704,0.5368398496832069,0.5847331285476685,0.9967667460441589,-0.0010177739869965765,-44.71607208251953,-61.34233474731445,88.68907165527344,0.5,0.3968253968253968,69.27803039550781
