basin_id,ensemble_nse,ensemble_mse,ensemble_rmse,ensemble_beta_kg,num_models
camels_01022500,0.8273833215365447,0.8498871987455676,0.9218932686301422,0.9688896033026834,8
camels_01031500,0.80988565362707,1.7859626452060884,1.3363991339439307,1.091443719713219,8
camels_01047000,0.7585418380239243,2.5769559334355026,1.6052899842195187,0.9650773767834425,8
camels_01052500,0.7822612741133312,2.8516987859938063,1.688697363648622,1.049747056266575,8
camels_01054200,0.6228522528647935,11.115248814302797,3.3339539310408592,1.0250156572935627,8
camels_01055000,0.6263420751892252,6.614014240595461,2.5717725872626183,1.0538672214860303,8
camels_01057000,0.8093052299318869,1.4009442051288195,1.1836148888590492,1.1803697702862095,8
camels_01073000,0.7248921095696299,1.8111549307550665,1.3457915628934023,1.0859173852238841,8
camels_01078000,0.800246175397871,1.1993322872541752,1.0951403048259045,1.0530985306609066,8
camels_01123000,0.6143781477683755,1.8982743696528153,1.3777787811012387,0.9451925412791355,8
camels_01134500,0.7489607539505658,2.063506279289492,1.4364909603925435,1.0213623410924544,8
camels_01137500,0.6701848530086265,3.3539530288017825,1.831380088567576,1.0507317434491728,8
camels_01139000,0.7266469435157041,0.9736186853457431,0.9867211791310365,0.9929426082935063,8
camels_01139800,0.7162251562893497,1.0348082730589125,1.0172552644537716,0.9433636518772492,8
camels_01142500,0.672438687292416,1.617483927162965,1.271803415297728,1.0678720731707272,8
camels_01144000,0.7383555219587264,1.2860965071238684,1.1340619503024816,1.1069016309782553,8
camels_01162500,0.7422281780283457,1.310859329727523,1.144927652617196,1.0654815842430199,8
camels_01169000,0.6400916876704446,3.2382631779727324,1.7995174847643833,1.2088366549431753,8
camels_01170100,0.688127013356505,2.5210005726835085,1.5877659061346256,1.1360515715705795,8
camels_01181000,0.5787987071041081,3.86293165648035,1.965434215760057,1.2034536341346658,8
camels_01187300,0.6597125908034486,4.563273252280395,2.136181933328806,1.1235614593549068,8
camels_01195100,0.558442591994709,2.629402743650281,1.6215433215459527,1.069884053509631,8
camels_01333000,0.634432861403524,1.7219997363140749,1.312249875715016,1.2758224171264505,8
camels_01350000,0.5363391533503511,6.610026209954828,2.5709971236768876,1.1401416955834245,8
camels_01350080,0.5419621733503841,3.228670975779341,1.7968502930904793,1.270968251706908,8
camels_01350140,0.5646727221032272,3.12945410330002,1.7690263150388748,1.122914588702642,8
camels_01365000,0.6491648748760481,4.029874616021215,2.007454760641249,1.157473490637593,8
camels_01411300,0.43181109478969903,0.9676946294510265,0.983714709380228,0.7635819845395962,8
camels_01413500,0.5678649023938529,3.6668408920713196,1.9148997080973509,1.1378656273316174,8
camels_01414500,0.595685506543256,3.999169425244083,1.999792345530926,1.1022766146312317,8
camels_01415000,0.5900389498934517,2.4496882843690373,1.5651480071766495,1.1389184785688764,8
camels_01423000,0.6727877618984863,2.041977168725258,1.4289776655795772,1.0888062388458168,8
camels_01434025,0.6491489732394865,6.454766052122635,2.5406231621636914,1.15320337649555,8
camels_01435000,0.6572295412839665,6.480787726820366,2.545739131729794,1.0785852274210628,8
camels_01439500,0.6479901790917693,1.7236502008452879,1.3128785933380465,1.1554971599605925,8
camels_01440000,0.6512453995115111,1.6614311411230591,1.2889651434864555,1.019925234582518,8
camels_01440400,0.5710034895954342,2.970564238747435,1.7235324884513883,1.2197582923079362,8
camels_01451800,0.7066403803158601,2.1502820660862256,1.4663840104441352,1.1505439628466023,8
camels_01466500,0.518580890648903,0.10868529909985253,0.3296745351097845,0.9186546743424568,8
camels_01484100,0.488525475987199,1.0513443139242953,1.02535082480305,0.9676921858369557,8
camels_01487000,0.6052463607462468,0.5419495573842105,0.7361722335053194,0.9432221513511287,8
camels_01491000,0.48951736747252406,2.2445443417386235,1.4981803435296512,1.0320414425795525,8
camels_01510000,0.7292524167297938,1.803928690634379,1.3431041250157707,1.1194037092339342,8
camels_01516500,0.45402584572666127,4.134518537217455,2.0333515527860535,1.1479874588006842,8
camels_01518862,0.587911083267085,2.4890274558101853,1.577665191290657,1.1377191906947093,8
camels_01532000,0.4579517462891808,6.083273949934088,2.4664293928539873,1.0122755419551015,8
camels_01539000,0.6841836612914292,2.0188806183460004,1.4208731886927841,1.0814340192426322,8
camels_01542810,0.6049853149073872,3.5204871610563435,1.8762961282954094,1.0616599891347722,8
camels_01543000,0.6248302842174304,2.400301941716278,1.549290786687986,1.0324433554868413,8
camels_01543500,0.6814259203750235,1.696895449235335,1.3026493961290333,1.0672679747838574,8
camels_01544500,0.6624463697586003,2.5246312338871766,1.5889088186196136,0.9264797551544363,8
camels_01545600,0.6277347930176006,2.168142460337101,1.4724613612374013,0.9663696408225869,8
camels_01547700,0.6553974295029552,2.1080880907365733,1.4519256491764905,1.1445881966922709,8
camels_01548500,0.6896597493900651,1.5374272281371582,1.2399303319691628,1.0270851777553522,8
camels_01549500,0.651772060869262,3.0731284333076867,1.7530340650733764,0.9727471182794605,8
camels_01550000,0.6154708433599158,3.715382205258773,1.927532672941959,0.89766960070867,8
camels_01552000,0.6714978948533297,2.5892056502858205,1.6091008825694617,0.9912309660183749,8
camels_01552500,0.6561302365992698,3.9344382686176136,1.9835418494747252,0.9973361413142733,8
camels_01557500,0.5822286792144437,2.2950533427316797,1.514943346376913,0.9839179263598469,8
camels_01567500,0.5297304185170564,3.2641613396783415,1.8066990174565163,1.0932695801027597,8
camels_01568000,0.5812091424400354,2.843397001445597,1.6862375281808897,1.0402648164290718,8
camels_01580000,0.5960292915580461,0.9975792043112125,0.9987888687361371,0.9782991671678807,8
camels_01583500,0.5858499779136794,0.7430293878615412,0.8619915242399667,1.0347266703233953,8
camels_01586610,0.6079929119422107,1.2631195988339665,1.1238859367542449,0.9695147509966029,8
camels_01591400,0.4867648538364876,2.0090048934390734,1.4173936974034678,1.041620956336004,8
camels_01594950,0.439322122521033,4.658380009389936,2.1583280587968865,1.1926827349836853,8
camels_01596500,0.5871385957756134,2.8661954558645375,1.692984186537056,1.115411022443385,8
camels_01605500,0.3777696729393306,2.4183917021907164,1.5551179062022007,1.3881446166176377,8
camels_01606500,0.4596510193126263,2.722239573647628,1.6499210810361895,1.192934329799146,8
camels_01632000,0.5206052103803438,4.5686313026901075,2.137435683872174,1.1525866341489286,8
camels_01632900,0.5553619570537429,1.5824761305077637,1.257965075233714,1.013767032440572,8
camels_01634500,0.5843050103321077,2.6912178770045863,1.6404931810295909,1.0985953404629665,8
camels_01638480,0.5082090292318053,2.6399620865970097,1.6247960138420483,1.1311726108465714,8
camels_01639500,0.6800556363393497,1.282982921401746,1.1326883602305384,1.0337206331406228,8
camels_01644000,0.5330615567195944,1.7934780906201915,1.3392080087201508,1.1034114766373755,8
camels_01664000,0.5519701845198901,2.0227370565790603,1.4222296075455116,0.9312020241927609,8
camels_01666500,0.43517117917285186,4.82473374832966,2.196527657082801,0.7907926397809645,8
camels_01667500,0.4389040803059554,4.185937986011666,2.045956496607801,0.8950003695309501,8
camels_01669000,0.6157385606846653,0.5253277990899651,0.7247950048737678,0.9209053690651453,8
camels_01669520,0.6152746292715248,1.2577944809708728,1.1215143694892513,1.0131528328148691,8
camels_02011400,0.38986891338771656,2.0646497417844367,1.4368889107319454,1.3746583314111034,8
camels_02013000,0.5968722471210742,2.0655385953282415,1.4371981753843974,1.1964856330424816,8
camels_02014000,0.4859936722372338,1.8052077906981017,1.3435802137193378,1.2001451343453065,8
camels_02015700,0.5720416419103731,2.7011951163546826,1.6435312946076452,1.0200147462511873,8
camels_02016000,0.5451526285972926,2.345867414606079,1.5316224778339076,1.1337039473046888,8
camels_02017500,0.5818844741444957,1.8768164574550121,1.3699695096807856,0.9668828682592286,8
camels_02018000,0.5531740946893007,2.1081052035285492,1.4519315423009962,1.0787161122645428,8
camels_02027000,0.5292402333688085,3.9924785374409573,1.998118749584458,1.081215408368854,8
camels_02027500,0.5207681155151431,7.187885497884486,2.6810232184530753,0.9479055297501384,8
camels_02028500,0.3987067358683263,4.604800436426187,2.145879874649601,0.9817718084745023,8
camels_02038850,0.4031690919340636,3.054420096284367,1.7476899313906822,0.9724706527872466,8
camels_02046000,0.38991037224473546,1.7577851903518447,1.325814915571493,1.3246677695327052,8
camels_02051500,0.5460995384873365,1.3763952657311966,1.1731987324111788,1.1834511624525417,8
camels_02053200,0.48366613623251986,2.547080165617717,1.5959574448016203,1.2834780075671859,8
camels_02053800,0.48036483115571593,1.6055007907569656,1.267083576863407,1.0838425679478472,8
camels_02055100,0.47003613741266814,1.8735404400044535,1.3687733340493062,1.147621862026146,8
camels_02056900,0.3926847248829295,1.9247161327998172,1.3873413901415244,1.1348426114456165,8
camels_02059500,0.4233268493381698,1.9929134406075923,1.4117058619300242,1.1144163940236849,8
camels_02064000,0.44984147035208155,4.369153847418605,2.0902521014027484,0.9619342773784142,8
camels_02065500,0.46687490474910254,2.330909465069273,1.5267316283712973,0.955743187398234,8
camels_02069700,0.06680741064562923,2.0656480717682224,1.437236261638365,1.0028520577667708,8
camels_02070000,0.07183769194657952,2.448834737949546,1.5648753106716031,1.0543879822121383,8
camels_02074500,0.29149108168697,4.660276776042543,2.158767420553345,0.8355369648943569,8
camels_02077200,0.2334901202441214,13.908817737583428,3.7294527396902923,1.0560810984526197,8
camels_02081500,0.4732086994219007,4.576784277390314,2.139342019731841,1.1637764322972122,8
camels_02082950,0.45852014415655684,4.0801975456573,2.0199498869173214,1.204698664549662,8
camels_02092500,0.38281345466210126,3.706274140995413,1.925168600667332,1.3092164610661652,8
camels_02096846,0.477804946646472,4.44016989368098,2.1071710641713404,1.3054615049705527,8
camels_02102908,0.2642472359961171,1.0418481981198424,1.02070965417196,0.8659794985540082,8
camels_02108000,0.6335631063608466,1.8632999918719622,1.3650274692737734,1.1386126293116243,8
camels_02111180,0.22719058996968344,8.674003956390239,2.9451662018280462,1.0566514945641772,8
camels_02111500,-0.16490286848160074,4.338316554869513,2.0828625866507644,1.0957476348042297,8
camels_02112120,0.0414161674434681,3.3333632544925678,1.8257500525790948,1.0350197488370518,8
camels_02112360,-0.004408448333280468,2.0461499733073363,1.430436986835609,0.9263418834132425,8
camels_02118500,0.2293765212437232,2.96356762392967,1.721501560826963,1.0739785998837765,8
camels_02125000,0.3201035248801277,9.280484178856964,3.0463887110572356,0.964951634745818,8
camels_02128000,0.3012987345736453,8.307770846170484,2.882320392699341,0.9666442708604986,8
camels_02137727,0.3054853669073794,4.556172928109149,2.134519367002593,0.982054910900068,8
camels_02140991,0.015403274616869411,7.9874829054218095,2.82621352792421,1.107964047930863,8
camels_02143000,0.25371952343733306,4.18570799622116,2.0459002899020176,0.9246860296927333,8
camels_02143040,0.3449483759143177,4.67074398588202,2.1611904094461507,0.8175994894206939,8
camels_02149000,-0.053374627664853014,3.6076586187945217,1.899383747112342,0.9397030955784486,8
camels_02152100,-0.6422652319044162,6.242226064790099,2.4984447291845577,1.2483533105465356,8
camels_02177000,-0.18490335857562412,7.364813576079139,2.713819002085279,1.0178345068638037,8
camels_02178400,0.06504572493708327,7.936543598483205,2.8171871784606726,1.02805118624991,8
camels_02193340,0.3472371318898263,4.613617038092413,2.147933201496828,1.1315924107974062,8
camels_02196000,0.347957486591852,2.996034163924262,1.7309055907022375,1.0613072643792167,8
camels_02198100,0.4088735613336256,5.73999220733621,2.395828083844125,0.7464486289370174,8
camels_02202600,0.4025599803587592,2.8625367641822765,1.6919032963447636,1.0126819027116993,8
camels_02212600,0.4608923576415369,4.431235146642642,2.1050499154753175,1.0147904217582477,8
camels_02215100,0.5552817841027982,2.0795467502833285,1.4420633655576056,0.7245597197583538,8
camels_02216180,0.40709978834713934,4.8711372885338475,2.207065311343062,0.6674136820791399,8
camels_02221525,0.5405427852957048,1.6010514792743251,1.2653266294812282,0.9743667418627255,8
camels_02231000,0.14420586267850788,2.0792780397699793,1.4419701937869518,1.541945265514837,8
camels_02245500,0.38081747928621057,2.6203009276711247,1.61873435982286,1.0880086250046532,8
camels_02246000,0.36162030685839386,3.886008289150333,1.9712960937287765,1.0956098928338085,8
camels_02296500,-0.04226925640423773,1.9750127502893082,1.4053514685975563,1.3792357957927732,8
camels_02297155,0.0004253514862411212,3.546538136959367,1.883225461000187,1.4155397657822417,8
camels_02297310,0.12698482454261184,3.3567506596171404,1.8321437333400292,1.3773376844583198,8
camels_02298123,0.4274626131842071,1.25549809207206,1.1204901124383293,1.3262796672973685,8
camels_02298608,0.20289771896375464,8.07100495520774,2.8409514172558006,0.8382138715861263,8
camels_02299950,0.18163207599799858,8.52975627227355,2.92057464761193,0.9295935410223191,8
camels_02300700,0.18575653136684322,14.425882429431406,3.798141970678743,0.6310192411675345,8
camels_02342933,0.22213386097738197,14.901840945620755,3.860290267016297,0.9384359400682336,8
camels_02349900,0.5247431779320879,3.351182078575167,1.8306234125497158,0.7608278932014723,8
camels_02350900,0.6382224981666873,0.9139452028550215,0.9560048131965767,0.8658852010644855,8
camels_02361000,0.356544700339835,6.299142013368379,2.509809158754581,0.760574337279171,8
camels_02363000,0.38319776372076375,4.224849086083163,2.055443768650255,0.8768723022528562,8
camels_02369800,0.39731886586127274,14.88048950260308,3.8575237526946067,0.7856681755619708,8
camels_02371500,0.45041509215300735,2.773688690352842,1.6654394886494202,0.8177216632958222,8
camels_02372250,0.3299852205057573,5.3030180727562675,2.302828276870915,0.8147662194001012,8
camels_02374500,0.4476254395266087,2.2032938947793688,1.4843496538145482,0.8390866754461807,8
camels_02381600,0.21304208305895733,6.016827617110318,2.452922260714823,1.0170622999686374,8
camels_02384540,0.37790354628790834,14.51239841577413,3.8095141968201314,0.7494397534307986,8
camels_02395120,0.46778609898367085,4.613648440155231,2.1479405113166496,1.038668199098324,8
camels_02415000,0.39335828430484,6.048292698953994,2.4593276924708496,0.9471497335243805,8
camels_02427250,0.3924759893673976,7.103501215329405,2.665239429268861,0.7686945634833497,8
camels_02430085,0.5069591567456129,7.605800686373303,2.757861614797469,0.9086091998007115,8
camels_02450250,0.49269177963497746,11.977579323704685,3.460863956254953,1.1707777345179542,8
camels_02464000,0.43572305040015946,6.416132361322688,2.5330085592675537,1.2183654884207742,8
camels_02464360,0.26055524793865403,4.669781937166842,2.160967824185923,1.0862959244762729,8
camels_02465493,0.2741064987017804,2.939567683005931,1.7145167491179347,0.9956864656577579,8
camels_02469800,0.4181639300819966,5.778606724844168,2.403873275537662,0.9476980279218227,8
camels_02472000,0.4766923788336235,5.048405179434648,2.246865634486105,1.0133941291215662,8
camels_02472500,0.30267305698413616,5.6467351591352655,2.3762860011234475,0.8399704086264833,8
camels_02479155,0.41089194797924256,11.061152912667767,3.325831161178776,0.9079295540680884,8
camels_02479300,0.5804953584227591,3.5895016498580046,1.8945980180127933,0.9177992977747875,8
camels_02479560,0.522742949028314,4.298702944350973,2.0733313638564805,0.9189113480189524,8
camels_02481000,0.43607953235134445,14.000692042639939,3.7417498637188373,0.9193655594038997,8
camels_02481510,0.4751116465356441,6.459256927829209,2.5415068223062494,0.9553954613032043,8
camels_03010655,0.6121893130545786,1.9990772589730024,1.413887286516504,1.0578572199543017,8
camels_03011800,0.5824961617778177,2.454949293426018,1.566827780397711,0.9691898168326138,8
camels_03015500,0.632351218286585,2.5292472998104683,1.5903607451803092,1.1270400289912281,8
camels_03021350,0.6711362471945501,4.485622353057341,2.1179287884764544,1.0742624077167742,8
camels_03026500,0.5308069791776143,2.7149773500177576,1.6477188322094756,1.0423283597291424,8
camels_03028000,0.6309244044525175,2.427617734990174,1.5580814275865604,0.9447386040056702,8
camels_03049000,0.5539207398985874,1.5799762846741423,1.2569710755121386,1.2796006886579765,8
camels_03049800,0.3171416533923964,2.031431555731581,1.4252829739148578,1.3944787623742352,8
camels_03050000,0.4563540913870455,6.44746401271594,2.5391856987459467,1.2579969894635132,8
camels_03069500,0.5104387585365064,6.810647919909795,2.609721808911784,1.054269937491191,8
camels_03070500,0.5857121900262666,3.3510313610448055,1.8305822464573411,1.0680287052562265,8
camels_03076600,0.566116867691982,2.865115561782376,1.6926652243672924,1.1628251944803991,8
camels_03078000,0.6035647348495303,2.944679929307502,1.7160069723947808,0.9967966061302028,8
camels_03140000,0.5097392161345373,1.392619009598211,1.180092797028357,1.3454501863421209,8
camels_03144000,0.3645276328201871,3.9675558124669816,1.9918724388039968,1.2348666587728125,8
camels_03170000,0.23755620726775828,1.1310530124504767,1.063509761332954,1.0959321277892322,8
camels_03173000,0.44777614804533117,2.0508568153147015,1.4320812879563443,1.129004642004716,8
camels_03180500,0.5516674670071422,5.506655145283027,2.346626332691898,1.1249467764887497,8
camels_03182500,0.609593415859478,3.4510944814172877,1.8577121632312386,1.2601750131003666,8
camels_03186500,0.614846118171673,5.306078967642316,2.303492775687025,1.0875546196931476,8
camels_03237280,0.16637660743182137,6.467358711895766,2.543100216644198,1.306214140433108,8
camels_03237500,0.3546869492200212,8.30095342638678,2.8811375229910112,1.1519240726440574,8
camels_03238500,0.4844833958882865,8.384174213259273,2.8955438544873178,1.1511123310385456,8
camels_03241500,0.3166121756365309,2.1550119093192337,1.467995881914944,1.2161227268778445,8
camels_03280700,0.39089454249499245,5.973948088607937,2.444166133594019,1.1566332069339869,8
camels_03281500,0.5976192205545086,3.265684486306545,1.8071204957906224,1.1713695779761113,8
camels_03285000,0.44566218801044,9.053119898258547,3.0088402912515226,1.0361086845482816,8
camels_03291780,0.49368874308300026,9.703062657538052,3.1149739417109177,1.10858041269573,8
camels_03338780,0.4174820463618033,4.5018552236413205,2.121757578905121,1.1410581840412095,8
camels_03340800,0.3925839654500901,4.70212203725946,2.16843769503748,1.4244591323284788,8
camels_03346000,0.4583177422063568,4.524517269960672,2.1270912697767983,1.3453496274380279,8
camels_03364500,0.5641867283665398,3.363938262283934,1.8341042124928273,1.242363300441295,8
camels_03366500,0.5084912773076857,6.421163764849955,2.5340015321325193,1.1704316967930395,8
camels_03368000,0.43921751510419027,13.655512582840327,3.6953365993966405,1.1900830964876237,8
camels_03384450,0.3186645150142552,9.975092864489545,3.1583370409900122,1.1544030378675219,8
camels_03439000,0.29134766549443303,7.989444532572652,2.8265605481879654,0.9024543067912795,8
camels_03455500,0.4159213879618211,13.350668270630791,3.6538566297312203,0.9877165679933051,8
camels_03456500,0.28665058527587217,9.319805037373024,3.0528355732618526,1.0019096030603665,8
camels_03460000,0.12148436572129895,5.751310440361071,2.3981889917938224,0.9402587808404925,8
camels_03463300,0.490092806217548,12.233880422481581,3.4976964451595256,0.888128581010424,8
camels_03471500,0.42770309217441227,2.2648180643059037,1.5049312490296372,1.0331565731672427,8
camels_03473000,0.4279307275287745,2.044507043406325,1.4298625959882736,1.0332559576349714,8
camels_03479000,0.25083603807276367,10.540560958915918,3.246623008437524,1.2447689057818254,8
camels_03488000,0.5749747627100159,1.9074319594895595,1.381098099155002,1.067109182270728,8
camels_03498500,0.36191825404075195,6.117761235040817,2.4734108504332264,0.9974509833848515,8
camels_03500000,-0.22537241825643672,6.8163701350045,2.610817905370748,1.0745683637074892,8
camels_03500240,0.11279701831520306,5.536250896331574,2.352923903642354,1.0906406939052617,8
camels_03504000,0.30494257880975906,7.603945130482221,2.757525182202734,0.9968046800004303,8
camels_03574500,0.5243094963538664,13.143449795749973,3.6253896060630466,0.9813252981443416,8
camels_03592718,0.31913044113787603,11.040348051099812,3.3227019202901444,1.0624601799947413,8
camels_03604000,0.3974959671692124,9.917030809961679,3.149131754938443,0.9456961491920033,8
camels_04015330,0.42292832088210164,3.8435240343079617,1.9604907636375035,0.8909976791843208,8
camels_04024430,0.5194874779265329,1.0839915903468758,1.0411491681535723,0.8017486994089039,8
camels_04027000,0.66113164527563,0.8154148245648655,0.9030032251132138,0.9811479118503127,8
camels_04040500,0.7409158405228982,0.563094357622992,0.7503961338006693,1.125026202764836,8
camels_04043050,0.7815181059653848,0.9681840643360036,0.9839634466462682,0.9751595360842868,8
camels_04045500,0.8405969964329565,0.1382632849377706,0.3718377131730597,1.024480730424085,8
camels_04057510,0.7694277655290784,0.17480521559726564,0.4180971365571231,1.1323401135477513,8
camels_04057800,0.7934766506755679,0.4540291583226654,0.6738168581466817,1.0196354365552884,8
camels_04059500,0.7898700672796141,0.23072921445138897,0.4803428093053845,1.1073349177283576,8
camels_04063700,0.649950449334568,0.2337466936133689,0.4834735707496004,0.9576928181629573,8
camels_04074950,0.5710176139164154,0.11339028033616584,0.336734732892474,0.9228830140304669,8
camels_04105700,0.4738894343902734,0.08762836127407214,0.2960208797940985,0.9210902609163103,8
camels_04115265,0.5828000792485418,0.11642285506565961,0.3412079352325494,0.9411869169571605,8
camels_04122200,0.6236967994929409,0.07488012052907977,0.2736423222549461,0.9925491925848225,8
camels_04122500,0.6552417307605369,0.06100770115688692,0.24699737074893513,1.003131369368288,8
camels_04127918,0.731754231319914,0.4298407144259045,0.6556223870688862,0.8888607863539173,8
camels_04127997,0.533686394269292,0.050413888051201144,0.22453037222434105,0.8895029222535199,8
camels_04161580,0.584521089878801,0.1375704851719337,0.37090495436423293,1.108651630662823,8
camels_04185000,0.6490649051591475,0.6748996782257949,0.8215227801015592,1.1239955818851872,8
camels_04196800,0.5463489141836817,1.6852977373610387,1.2981901776554308,1.420178759399268,8
camels_04197100,0.524519077770215,1.741408815010682,1.3196244977305787,1.3988128404559885,8
camels_04197170,0.4528640741891108,4.313847043297079,2.0769802703196483,1.1714978372457834,8
camels_04213000,0.6272186406576219,3.0351713257198103,1.742174309797906,1.1677375176254587,8
camels_04213075,0.37754621669639843,4.311671493819043,2.0764564753009016,1.0929621483463887,8
camels_04216418,0.6150661032895446,1.971620856704557,1.4041441723357886,1.2430524522404263,8
camels_04221000,0.6105730868859987,1.6617981740648191,1.289107510669618,1.1798363679464077,8
camels_04224775,0.6222931390438695,1.4564643812180493,1.2068406610725582,1.1618892059049004,8
camels_04233000,0.6034379567218449,1.5306048315064558,1.23717615217335,1.0904902822690616,8
camels_04256000,0.7650387601798296,1.8896817137624944,1.3746569440273069,1.0380104807584352,8
camels_04296000,0.7276380319444951,1.1163346865476815,1.056567407479372,1.1570254439279384,8
camels_05057200,0.3156464824961073,0.15567107455648305,0.3945517387573942,0.6085768589534213,8
