basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.6430532932281494,0.7109705739135607,0.5054791569709778,1.2192519903182983
CAMELS_UY_11,-0.02243661880493164,1.605911899116891,2.5789530277252197,1.3087213039398193
CAMELS_UY_15,0.7142249345779419,1.0567252359694628,1.1166682243347168,1.2554138898849487
CAMELS_UY_16,0.3287178874015808,2.331918582718578,5.437844276428223,1.1239829063415527
CAMELS_UY_2,0.6080029606819153,1.5514903717332353,2.4071223735809326,1.1279399394989014
CAMELS_UY_3,0.6600080728530884,1.791537775534128,3.2096076011657715,1.123649001121521
CAMELS_UY_5,0.677971363067627,2.6441761043206635,6.9916672706604,1.2318487167358398
CAMELS_UY_6,0.7226606011390686,1.6346136498765673,2.671961784362793,1.2118779420852661
CAMELS_UY_7,0.4387092590332031,3.1513753582943345,9.931166648864746,1.4608243703842163
CAMELS_UY_8,0.5914584994316101,2.5264632564721206,6.383016586303711,1.4526841640472412
CAMELS_UY_9,0.8252442479133606,0.9696136439598824,0.9401506185531616,1.0558044910430908
