basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.3270303010940552,0.976220032724114,0.9530055522918701,1.3791415691375732
CAMELS_UY_11,0.15416300296783447,1.4606523694537552,2.133505344390869,1.1477336883544922
CAMELS_UY_15,0.6097100973129272,1.2349335095039786,1.525060772895813,1.017362117767334
CAMELS_UY_16,0.2701936960220337,2.4314460891059286,5.911930084228516,1.0700074434280396
CAMELS_UY_2,0.7445716857910156,1.2523975743883415,1.5684996843338013,1.0306466817855835
CAMELS_UY_3,0.7143981456756592,1.6419961921331787,2.6961514949798584,1.0122082233428955
CAMELS_UY_5,0.6572895050048828,2.7277642255119687,7.44069766998291,1.0428317785263062
CAMELS_UY_6,0.7810796499252319,1.4522868374594795,2.1091370582580566,1.0614566802978516
CAMELS_UY_7,0.5317414999008179,2.878385789220568,8.285104751586914,1.0933092832565308
CAMELS_UY_8,0.5384047627449036,2.6855023966487175,7.211923122406006,1.2182106971740723
CAMELS_UY_9,0.6839204430580139,1.3040108210810915,1.700444221496582,1.1217336654663086
