basin_id,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-KGE,Beta-NSE,FHV,FMS,FLV,Peak-Timing,Missed-Peaks,Peak-MAPE
camels_01411300,0.6726263761520386,0.5575569868087769,0.746697386367983,0.5542416043425535,0.6435975452129112,0.8913394212722778,0.7553150653839111,-0.24593365600279007,-40.211421966552734,-11.11523151397705,34.64794921875,0.15,0.4528301886792453,41.69419860839844
camels_01487000,0.806473433971405,0.26568886637687683,0.515450158964838,0.8794613978152259,0.9506182774913216,0.9007187485694885,1.0472676753997803,0.04828068597567179,-3.277430772781372,-8.804256439208984,-16.429580688476562,0.16666666666666666,0.42857142857142855,20.67356300354004
camels_01491000,0.6070038676261902,1.7279675006866455,1.3145217764216177,0.5459815906317584,0.5875011029053939,0.8103516101837158,0.9967039227485657,-0.0018769289474234766,-41.30856704711914,-13.805805206298828,71.88703155517578,0.3888888888888889,0.45098039215686275,63.20828628540039
camels_01644000,0.7632149457931519,0.9094749093055725,0.9536639393966685,0.8362963860595084,0.9210869745448976,0.8756589889526367,0.9285092949867249,-0.038734015478277914,-0.7147473096847534,0.7151976823806763,-8.877997398376465,0.5,0.2830188679245283,36.728904724121094
camels_01664000,0.4626731276512146,2.425889730453491,1.5575267992729664,0.7238323319540335,1.0181425434098337,0.7374986410140991,0.9161401987075806,-0.0496929657824542,-3.909214496612549,-2.091468572616577,64.71881866455078,0.14285714285714285,0.4745762711864407,48.5373420715332
camels_01667500,0.5852904319763184,3.093853235244751,1.7589352561264873,0.7717051838681181,0.9638816884727545,0.7861939072608948,0.9285790920257568,-0.035168994271013734,1.998940110206604,-2.479313611984253,78.27861022949219,0.25,0.42105263157894735,35.314849853515625
camels_02028500,0.4384987950325012,4.3000664710998535,2.0736601628762252,0.6597501628135355,0.9979303977122201,0.7258985042572021,0.7984211444854736,-0.12011731479657081,-15.513725280761719,-18.77171516418457,77.79121398925781,0.19047619047619047,0.35185185185185186,49.615814208984375
camels_02051500,0.7506766319274902,0.7560415267944336,0.8695064846189668,0.6244882993173108,0.7132462024601989,0.8908331990242004,0.7835192680358887,-0.10663147011493473,-31.594757080078125,-15.050612449645996,-11.262564659118652,0.47368421052631576,0.42592592592592593,54.071224212646484
camels_02053200,0.7764898538589478,1.1025781631469727,1.0500372198865013,0.7249194633603282,0.7644673131089246,0.8909998536109924,0.9088264107704163,-0.03715305773356762,-29.63174819946289,-44.133026123046875,-18.83306121826172,0.75,0.4888888888888889,37.873558044433594
camels_02053800,0.6485737562179565,1.085790753364563,1.0420128374279096,0.5941223661771079,0.6340649878725222,0.8289725184440613,0.9602782130241394,-0.02515085084952026,-37.03287887573242,-27.444379806518555,18.016366958618164,0.15,0.4107142857142857,43.410728454589844
