basin_id,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-KGE,Beta-NSE,FHV,FMS,FLV,Peak-Timing,Missed-Peaks,Peak-MAPE
camels_01411300,0.7598387598991394,0.4090237319469452,0.6395496321216557,0.6878402745581444,0.7845050516897762,0.9033592343330383,0.7958770394325256,-0.20516466610507347,-26.65361213684082,4.247876167297363,30.37324333190918,0.0,0.3584905660377358,32.73408889770508
camels_01491000,0.5763939619064331,1.8625563383102417,1.364755046999366,0.6081086819888171,0.6911565293363738,0.7630351185798645,0.9548097252845764,-0.025733454827269096,-31.344478607177734,7.083529472351074,64.16769409179688,0.16666666666666666,0.4117647058823529,55.16630935668945
camels_01644000,0.7958371639251709,0.7841753363609314,0.8855367504293266,0.8037084441216156,0.8915119711735885,0.894676685333252,0.8748292326927185,-0.06781814893868998,-2.980231761932373,-3.2056055068969727,15.108702659606934,0.3181818181818182,0.22641509433962265,33.23106002807617
camels_01664000,0.5795527696609497,1.8982088565826416,1.377755006008921,0.7084288446462106,0.8759726172560344,0.7723617553710938,0.8665392398834229,-0.07908507102080826,-9.162161827087402,0.795595645904541,73.05249786376953,0.23809523809523808,0.3728813559322034,45.16651153564453
camels_01667500,0.6599791049957275,2.536654233932495,1.5926877389910727,0.7248740334085337,0.814861356297695,0.8133751749992371,0.9188264012336731,-0.039971402205003295,-5.995728969573975,1.6106261014938354,69.4744873046875,0.25,0.3508771929824561,39.309898376464844
camels_02028500,0.49087435007095337,3.8989663124084473,1.9745800344398419,0.6184234236601955,0.8789459278278972,0.7304916977882385,0.7585214972496033,-0.14389279939168062,-21.459030151367188,-4.636598587036133,63.26063919067383,0.09523809523809523,0.3333333333333333,45.733192443847656
camels_02038850,0.6523004770278931,1.7794324159622192,1.3339536783420252,0.634849806783237,0.7764998148292181,0.8155577182769775,0.7778213024139404,-0.10634180418521799,-10.923970222473145,34.419776916503906,47.17341995239258,0.125,0.421875,49.19112014770508
camels_02051500,0.8298091888427734,0.5160820484161377,0.7183885079928114,0.7731114853472082,0.8082135008287763,0.9186800718307495,0.9100922346115112,-0.04428567409159606,-20.53020668029785,-10.536429405212402,46.665096282958984,0.3684210526315789,0.2222222222222222,39.2672119140625
camels_02053200,0.8043918013572693,0.9649373292922974,0.9823122361511626,0.7589807882374593,0.786621884951942,0.90497887134552,0.9405775666236877,-0.02421453358290466,-24.192787170410156,-39.218406677246094,88.07707214355469,0.875,0.5111111111111111,31.91620635986328
camels_02053800,0.7119420766830444,0.8900035619735718,0.9434000010459889,0.6493627565421313,0.7003216948791146,0.8625341653823853,0.8806579113006592,-0.07556445467584057,-29.859844207763672,-14.967353820800781,24.671489715576172,0.15,0.25,36.55126953125
camels_02056900,0.7250468730926514,0.871387243270874,0.9334812495550588,0.763184037518385,0.8176923497759186,0.8524742126464844,0.9671083092689514,-0.021341680839923768,-17.692317962646484,-11.6337251663208,61.175174713134766,0.25,0.22950819672131148,42.510562896728516
camels_02059500,0.6432759761810303,1.2327954769134521,1.1103132336928405,0.7212822848448144,0.8071964542147881,0.8023293018341064,0.9620968103408813,-0.020802400758939008,-16.609798431396484,16.05512809753418,43.08293914794922,0.23809523809523808,0.3728813559322034,45.91351318359375
camels_02069700,0.7401062846183777,0.575282096862793,0.7584735307595071,0.7500033675693643,0.9778155664817489,0.8950762748718262,0.7741744518280029,-0.23282930470458413,-8.360549926757812,7.524336814880371,41.60957336425781,0.20833333333333334,0.3225806451612903,31.574281692504883
camels_02070000,0.6952573657035828,0.8040235042572021,0.8966735773162953,0.8437730070135249,1.044274774089461,0.8555028438568115,0.9604122638702393,-0.031519994257883134,0.24332566559314728,34.678916931152344,50.36275863647461,0.25,0.3283582089552239,38.795841217041016
camels_02074500,0.8105756044387817,1.245954990386963,1.116223539613353,0.768965949049331,0.8436434622414357,0.9044814705848694,0.8592677116394043,-0.061723096207758954,-13.796051025390625,59.9696159362793,14.146055221557617,0.1,0.3968253968253968,36.16007995605469
camels_02077200,0.33155012130737305,12.129454612731934,3.4827366556677717,0.37057810855079065,0.5337893527776855,0.5774739384651184,0.9829333424568176,-0.004213965335223769,-32.77772903442383,-46.720394134521484,90.06986999511719,0.11764705882352941,0.38181818181818183,46.65371322631836
camels_02081500,0.7873537540435791,1.8474794626235962,1.3592201670897899,0.6996215524491116,0.716249172320823,0.907844603061676,1.0349293947219849,0.01089525484429925,-29.102397918701172,-36.562496185302734,90.64250183105469,0.3157894736842105,0.3709677419354839,42.5297737121582
camels_02092500,0.8892967700958252,0.6647852659225464,0.8153436489741895,0.9359599859484172,0.971873323224643,0.9434648752212524,0.9893326163291931,-0.004735517647156116,-1.6773935556411743,-29.23210906982422,92.8470230102539,0.6842105263157895,0.4782608695652174,28.03860092163086
camels_02102908,0.4738159775733948,0.745092511177063,0.8631874137040362,0.6342948661799734,0.8784780899778575,0.7717020511627197,0.7414410710334778,-0.3321273827616789,-19.678468704223633,5.802796363830566,3.396709680557251,0.2916666666666667,0.40540540540540543,50.89470672607422
camels_02111180,0.5380507707595825,5.18491268157959,2.2770403337621383,0.4588468177853161,0.5049991727053248,0.7859688997268677,0.9551487565040588,-0.027413734514911765,-44.26570510864258,-22.894962310791016,6.924826622009277,0.23809523809523808,0.35,52.55756378173828
camels_02111500,0.7900469303131104,0.7819046974182129,0.8842537517128287,0.807777367648018,0.8703693820110198,0.8925837278366089,0.9072250723838806,-0.07851872607398215,-9.651836395263672,11.826591491699219,11.195327758789062,0.20833333333333334,0.296875,31.887855529785156
