date,precip_mm
2009-01-01,0.11890243738889694
2009-01-02,0.4153963327407837
2009-01-03,0.6150914430618286
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,1.2591463327407837
2009-01-08,1.4702744483947754
2009-01-09,0.03353658691048622
2009-01-10,1.5617377758026123
2009-01-11,0.3102134168148041
2009-01-12,0.018292682245373726
2009-01-13,18.421493530273438
2009-01-14,0.05411585420370102
2009-01-15,0.020579269155859947
2009-01-16,0.009146341122686863
2009-01-17,0.01676829345524311
2009-01-18,1.2362804412841797
2009-01-19,0.3003048896789551
2009-01-20,0.0
2009-01-21,0.0
2009-01-22,0.0
2009-01-23,0.0
2009-01-24,0.0
2009-01-25,0.8429877758026123
2009-01-26,0.37957316637039185
2009-01-27,0.019054878503084183
2009-01-28,11.542682647705078
2009-01-29,10.695121765136719
2009-01-30,4.618902206420898
2009-01-31,0.38871949911117554
2009-02-01,0.6722561120986938
2009-02-02,1.6074695587158203
2009-02-03,16.42759132385254
2009-02-04,0.1570121943950653
2009-02-05,0.04878048598766327
2009-02-06,3.1859755516052246
2009-02-07,0.0
2009-02-08,0.028963414952158928
2009-02-09,0.04039634019136429
2009-02-10,3.215701103210449
2009-02-11,9.57317066192627
2009-02-12,0.0
2009-02-13,0.0
2009-02-14,0.0
2009-02-15,0.31859755516052246
2009-02-16,4.494664669036865
2009-02-17,0.49695122241973877
2009-02-18,2.903963327407837
2009-02-19,9.483993530273438
2009-02-20,18.769054412841797
2009-02-21,4.505335330963135
2009-02-22,14.46189022064209
2009-02-23,1.9230183362960815
2009-02-24,0.37881097197532654
2009-02-25,0.8940548896789551
2009-02-26,1.5198171138763428
2009-02-27,2.1341464519500732
2009-02-28,0.8125
2009-03-01,1.503811001777649
2009-03-02,9.38185977935791
2009-03-03,0.7972561120986938
2009-03-04,7.814024448394775
2009-03-05,0.32926830649375916
2009-03-06,0.13109755516052246
2009-03-07,0.035823170095682144
2009-03-08,0.1044207289814949
2009-03-09,1.2256097793579102
2009-03-10,1.2713414430618286
2009-03-11,18.047256469726562
2009-03-12,0.8140243887901306
2009-03-13,0.0015243901871144772
2009-03-14,0.0
2009-03-15,3.3132622241973877
2009-03-16,0.8620426654815674
2009-03-17,32.83003234863281
2009-03-18,0.0
2009-03-19,0.026676829904317856
2009-03-20,0.15472561120986938
2009-03-21,0.0
2009-03-22,0.0
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,0.0007621950935572386
2009-03-26,0.10670731961727142
2009-03-27,0.13795731961727142
2009-03-28,0.0
2009-03-29,0.0
2009-03-30,0.0
2009-03-31,0.08765243738889694
2009-04-01,0.006859756074845791
2009-04-02,0.052591461688280106
2009-04-03,2.5678353309631348
2009-04-04,4.684451103210449
2009-04-05,0.01143292710185051
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,0.04801829159259796
2009-04-09,0.009146341122686863
2009-04-10,0.0
2009-04-11,0.06173780560493469
2009-04-12,0.0
2009-04-13,0.0
2009-04-14,0.020579269155859947
2009-04-15,0.0
2009-04-16,0.0
2009-04-17,0.0
2009-04-18,1.1714938879013062
2009-04-19,2.242377996444702
2009-04-20,0.0030487803742289543
2009-04-21,0.0022865852806717157
2009-04-22,0.09298780560493469
2009-04-23,0.0
2009-04-24,0.0
2009-04-25,0.08993902802467346
2009-04-26,0.0045731705613434315
2009-04-27,0.0
2009-04-28,0.0
2009-04-29,0.0
2009-04-30,0.0
2009-05-01,0.0007621950935572386
2009-05-02,0.0
2009-05-03,0.0007621950935572386
2009-05-04,0.032774388790130615
2009-05-05,1.4230183362960815
2009-05-06,0.0030487803742289543
2009-05-07,0.0007621950935572386
2009-05-08,0.049542684108018875
2009-05-09,0.0
2009-05-10,0.0
2009-05-11,0.2522865831851959
2009-05-12,29.04115867614746
2009-05-13,18.29115867614746
2009-05-14,1.0685975551605225
2009-05-15,0.0
2009-05-16,0.0
2009-05-17,0.020579269155859947
2009-05-18,5.197408676147461
2009-05-19,0.07164634019136429
2009-05-20,0.02515243925154209
2009-05-21,0.0
2009-05-22,0.0
2009-05-23,0.0
2009-05-24,0.06173780560493469
2009-05-25,0.1257621943950653
2009-05-26,0.2515243887901306
2009-05-27,0.28429877758026123
2009-05-28,0.006859756074845791
2009-05-29,0.16158536076545715
2009-05-30,42.46341323852539
2009-05-31,1.0769816637039185
2009-06-01,0.0
2009-06-02,0.0
2009-06-03,0.0
2009-06-04,0.019054878503084183
2009-06-05,0.0
2009-06-06,0.0
2009-06-07,0.0
2009-06-08,0.0
2009-06-09,0.0015243901871144772
2009-06-10,0.013719512149691582
2009-06-11,0.0022865852806717157
2009-06-12,0.0
2009-06-13,0.0
2009-06-14,0.0
2009-06-15,2.2721035480499268
2009-06-16,6.127286434173584
2009-06-17,0.0
2009-06-18,0.0022865852806717157
2009-06-19,0.0
2009-06-20,0.28734755516052246
2009-06-21,14.438261985778809
2009-06-22,9.324695587158203
2009-06-23,1.7873475551605225
2009-06-24,0.0
2009-06-25,0.0
2009-06-26,0.0
2009-06-27,0.0
2009-06-28,0.21875
2009-06-29,24.95121955871582
2009-06-30,0.0
2009-07-01,0.03125
2009-07-02,0.0
2009-07-03,0.0
2009-07-04,0.0
2009-07-05,4.721798896789551
2009-07-06,19.0
2009-07-07,1.1120426654815674
2009-07-08,3.807926893234253
2009-07-09,0.0
2009-07-10,0.0030487803742289543
2009-07-11,0.05030487850308418
2009-07-12,0.0
2009-07-13,0.53125
2009-07-14,0.0
2009-07-15,0.4710365831851959
2009-07-16,0.0
2009-07-17,0.0
